level,freq
1747,1
1748,
1749,
1750,
1751,
1752,
1753,13
1754,
1755,
1756,1
1757,
1758,
1759,
1760,
1761,
1762,1
1763,1
1764,
1765,
1766,
1767,3
1768,3
1769,
1770,
1771,3
1772,
1773,5
1774,
1775,1
1776,
1777,1
1778,
1779,
1780,
1781,
1782,3
1783,4
1784,1
1785,1
1786,6
1787,
1788,6
1789,1
1790,4
1791,2
1792,1
1793,2
1794,1
1795,
1796,
1797,1
1798,2
1799,2
1800,3
1801,2
1802,2
1803,
1804,3
1805,10
1806,4
1807,
1808,1
1809,
1810,70
1811,
1812,1
1813,
1814,2
1815,
1816,2
1817,1
1818,2
1819,1
1820,3
1821,2
1822,
1823,2
1824,4
1825,13
1826,12
1827,2
1828,4
1829,6
1830,7
1831,1
1832,10
1833,11
1834,6
1835,3
1836,4
1837,8
1838,5
1839,3
1840,3
1841,6
1842,4
1843,6
1844,15
1845,18
1846,22
1847,4
1848,13
1849,5
1850,3
1851,12
1852,14
1853,19
1854,9
1855,18
1856,4
1857,5
1858,9
1859,24
1860,4
1861,2
1862,6
1863,36
1864,32
1865,2
1866,8
1867,17
1868,27
1869,6
1870,16
1871,3
1872,1
1873,22
1874,11
1875,11
1876,12
1877,7
1878,33
1879,2
1880,3
1881,1
1882,8
1883,7
1884,4
1885,5
1886,
1887,5
1888,6
1889,9
1890,5
1891,8
1892,7
1893,1
1894,2
1895,2
1896,9
1897,2
1898,2
1899,12
1900,2
1901,1
1902,1
1903,6
1904,34
1905,16
1906,14
1907,3
1908,14
1909,4
1910,3
1911,4
1912,5
1913,6
1914,4
1915,19
1916,4
1917,5
1918,19
1919,3
1920,12
1921,7
1922,4
1923,15
1924,3
1925,2
1926,16
1927,15
1928,17
1929,9
1930,17
1931,4
1932,5
1933,5
1934,6
1935,6
1936,3
1937,2
1938,10
1939,7
1940,32
1941,23
1942,5
1943,4
1944,7
1945,3
1946,5
1947,1
1948,5
1949,5
1950,5
1951,2
1952,3
1953,3
1954,4
1955,7
1956,7
1957,6
1958,4
1959,2
1960,5
1961,5
1962,2
1963,3
1964,6
1965,9
1966,3
1967,
1968,6
1969,7
1970,7
1971,12
1972,3
1973,4
1974,10
1975,12
1976,7
1977,7
1978,12
1979,23
1980,44
1981,10
1982,19
1983,27
1984,46
1985,21
1986,68
1987,39
1988,27
1989,53
1990,70
1991,50
1992,57
1993,38
1994,27
1995,76
1996,72
1997,99
1998,52
1999,61
2000,42
2001,40
2002,50
2003,38
2004,83
2005,72
2006,53
2007,111
2008,55
2009,53
2010,87
2011,49
2012,89
2013,76
2014,88
2015,111
2016,73
2017,61
2018,69
2019,2
