level,freq
1747,2
1748,
1749,
1750,
1751,
1752,
1753,248
1754,6
1755,1
1756,7
1757,2
1758,1
1759,14
1760,2
1761,
1762,9
1763,11
1764,1
1765,
1766,
1767,19
1768,38
1769,
1770,2
1771,17
1772,5
1773,11
1774,
1775,23
1776,2
1777,2
1778,
1779,1
1780,
1781,3
1782,24
1783,7
1784,13
1785,7
1786,82
1787,4
1788,49
1789,17
1790,31
1791,22
1792,8
1793,15
1794,27
1795,12
1796,13
1797,37
1798,21
1799,27
1800,32
1801,19
1802,24
1803,20
1804,46
1805,169
1806,94
1807,51
1808,32
1809,26
1810,1265
1811,31
1812,34
1813,14
1814,15
1815,8
1816,13
1817,71
1818,19
1819,20
1820,32
1821,12
1822,15
1823,12
1824,68
1825,159
1826,67
1827,51
1828,62
1829,38
1830,151
1831,17
1832,72
1833,62
1834,94
1835,17
1836,54
1837,224
1838,145
1839,201
1840,157
1841,39
1842,115
1843,83
1844,167
1845,272
1846,126
1847,151
1848,219
1849,67
1850,11
1851,51
1852,124
1853,172
1854,107
1855,281
1856,91
1857,92
1858,150
1859,326
1860,98
1861,82
1862,129
1863,273
1864,297
1865,95
1866,100
1867,231
1868,214
1869,32
1870,121
1871,37
1872,12
1873,148
1874,91
1875,107
1876,101
1877,32
1878,157
1879,26
1880,18
1881,17
1882,80
1883,39
1884,34
1885,30
1886,32
1887,41
1888,26
1889,55
1890,48
1891,59
1892,42
1893,38
1894,15
1895,16
1896,48
1897,32
1898,21
1899,69
1900,31
1901,20
1902,32
1903,30
1904,213
1905,101
1906,47
1907,28
1908,50
1909,27
1910,24
1911,41
1912,56
1913,29
1914,27
1915,81
1916,28
1917,56
1918,71
1919,41
1920,84
1921,48
1922,52
1923,81
1924,36
1925,37
1926,90
1927,123
1928,86
1929,56
1930,49
1931,16
1932,27
1933,51
1934,65
1935,25
1936,49
1937,18
1938,44
1939,50
1940,61
1941,48
1942,52
1943,59
1944,34
1945,13
1946,22
1947,21
1948,42
1949,26
1950,23
1951,30
1952,19
1953,14
1954,16
1955,33
1956,36
1957,45
1958,37
1959,22
1960,33
1961,19
1962,33
1963,25
1964,60
1965,37
1966,26
1967,25
1968,32
1969,58
1970,53
1971,57
1972,49
1973,22
1974,74
1975,75
1976,56
1977,44
1978,106
1979,78
1980,178
1981,78
1982,111
1983,128
1984,162
1985,92
1986,246
1987,176
1988,127
1989,223
1990,249
1991,345
1992,219
1993,151
1994,112
1995,335
1996,215
1997,248
1998,189
1999,290
2000,132
2001,216
2002,171
2003,109
2004,230
2005,154
2006,211
2007,365
2008,142
2009,121
2010,145
2011,122
2012,166
2013,130
2014,173
2015,187
2016,120
2017,116
2018,111
2019,3
2021,1
