species,canonicalName,NT,Qld,WA,ChI,NSW,SA,Vic,Tas,ACT,NI,LHI,MI,HI,MDI,CoI,CSI,AR,CaI,Match
Cycas arenicola K.D.Hill,Cycas arenicola,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Cycas basaltica C.A.Gardner,Cycas basaltica,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Cycas canalis K.D.Hill,Cycas canalis,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Cycas couttsiana K.D.Hill,Cycas couttsiana,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Cycas cupida P.I.Forst.,Cycas cupida,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Cycas desolata P.I.Forst.,Cycas desolata,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Cycas distans P.I.Forst. & B.Gray,Cycas distans,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Cycas furfuracea W.Fitzg.,Cycas furfuracea,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Cycas lane-poolei C.A.Gardner,Cycas lane-poolei,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Cycas scratchleyana F.Muell.,Cycas scratchleyana,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Cycas semota K.D.Hill,Cycas semota,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Cycas silvestris K.D.Hill,Cycas silvestris,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Cycas terryana P.I.Forst.,Cycas terryana,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Cycas tuckeri K.D.Hill,Cycas tuckeri,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Cycas xipholepis K.D.Hill,Cycas xipholepis,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Macrozamia cardiacensis P.I.Forst. & D.L.Jones,Macrozamia cardiacensis,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Macrozamia concinna D.L.Jones,Macrozamia concinna,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Macrozamia cranei D.L.Jones & P.I.Forst.,Macrozamia cranei,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Macrozamia crassifolia P.I.Forst. & D.L.Jones,Macrozamia crassifolia,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Macrozamia diplomera (F.Muell.) L.A.S.Johnson,Macrozamia diplomera,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Macrozamia elegans K.D.Hill & D.L.Jones,Macrozamia elegans,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Macrozamia johnsonii D.L.Jones & K.D.Hill,Macrozamia johnsonii,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Macrozamia longispina P.I.Forst. & D.L.Jones,Macrozamia longispina,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Macrozamia machinii P.I.Forst. & D.L.Jones,Macrozamia machinii,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Macrozamia montana K.D.Hill,Macrozamia montana,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Macrozamia occidua D.L.Jones & P.I.Forst.,Macrozamia occidua,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Macrozamia parcifolia P.I.Forst. & D.L.Jones,Macrozamia parcifolia,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Macrozamia platyrhachis F.M.Bailey,Macrozamia platyrhachis,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Isoetes attenuata C.R.Marsden & Chinnock,Isoetes attenuata,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Isoetes australis S.Williams,Isoetes australis,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Isoetes brevicula E.R.L.Johnson,Isoetes brevicula,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Isoetes caroli E.R.L.Johnson,Isoetes caroli,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Isoetes coromandelina L.f.,Isoetes coromandelina,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Isoetes cristata C.R.Marsden & Chinnock,Isoetes cristata,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Isoetes elatior F.Muell. ex A.Braun,Isoetes elatior,not present,not present,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Isoetes humilior F.Muell. ex A.Braun,Isoetes humilior,not present,not present,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
