species,APC_name,NT,Qld,WA,ChI,NSW,SA,Vic,Tas,ACT,NI,LHI,MI,HI,MDI,CoI,CSI,AR,CaI,Genus,family,Original_Year,Growth_Habit
Asystasia alba Ridl.,Asystasia alba,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asystasia,Acanthaceae,1906,herb
Dicladanthera glabra R.M.Barker,Dicladanthera glabra,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Dicladanthera,Acanthaceae,1986,herb
Dicliptera australis (Nees) R.M.Barker,Dicliptera australis,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Dicliptera,Acanthaceae,1847,herb
Dicliptera maclearii Hemsl.,Dicliptera maclearii,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Dicliptera,Acanthaceae,1890,herb
Dicliptera miscella R.M.Barker,Dicliptera miscella,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Dicliptera,Acanthaceae,1986,herb
Dicliptera spicata Decne.,Dicliptera spicata,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Dicliptera,Acanthaceae,1834,herb
Dipteracanthus bracteatus (R.Br.) Nees,Dipteracanthus bracteatus,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Dipteracanthus,Acanthaceae,1810,herb
Dipteracanthus chichesterensis Trudgen & P.-L.de Kock,Dipteracanthus chichesterensis,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Dipteracanthus,Acanthaceae,2015,shrub
Hypoestes sparsiflora R.M.Barker,Hypoestes sparsiflora,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Hypoestes,Acanthaceae,1986,herb
Lepidagathis royenii Bremek.,Lepidagathis royenii,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lepidagathis,Acanthaceae,1957,herb
Baileyoxylon lanceolatum C.T.White,Baileyoxylon lanceolatum,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Baileyoxylon,Achariaceae,1941,tree
Gunniopsis calva Chinnock,Gunniopsis calva,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Gunniopsis,Aizoaceae,1983,herb
Gunniopsis divisa Chinnock,Gunniopsis divisa,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Gunniopsis,Aizoaceae,1983,herb
Gunniopsis propinqua Chinnock,Gunniopsis propinqua,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Gunniopsis,Aizoaceae,1983,herb
Gunniopsis tenuifolia Chinnock,Gunniopsis tenuifolia,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Gunniopsis,Aizoaceae,1983,shrub
Tetragonia coronata Rye & Trudgen,Tetragonia coronata,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Tetragonia,Aizoaceae,1996,herb
Tetragonia diptera F.Muell.,Tetragonia diptera,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Tetragonia,Aizoaceae,1878,herb
Trianthema compactum C.T.White,Trianthema compactum,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Trianthema,Aizoaceae,1919,herb
Trianthema cypseleoides (Fenzl) Benth.,Trianthema cypseleoides,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Trianthema,Aizoaceae,1839,herb
Trianthema kimberleyi Bittrich & K.M.Jenssen,Trianthema kimberleyi,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Trianthema,Aizoaceae,1990,herb
Caldesia parnassifolia (Bassi ex L.) Parl.,Caldesia parnassifolia,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Caldesia,Alismataceae,1767,aquatic_herbs_and_ferns
Achyranthes bidentata Blume,Achyranthes bidentata,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Achyranthes,Amaranthaceae,1826,herb
Alternanthera nahui Heenan & de Lange,Alternanthera nahui,not present,not present,not present,not present,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,Alternanthera,Amaranthaceae,2009,herb
Gomphrena arida J.Palmer,Gomphrena arida,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Gomphrena,Amaranthaceae,1998,herb
Gomphrena atrorubra J.Palmer,Gomphrena atrorubra,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Gomphrena,Amaranthaceae,1998,herb
Gomphrena conferta Benth.,Gomphrena conferta,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Gomphrena,Amaranthaceae,1870,herb
Gomphrena conica (R.Br.) Spreng.,Gomphrena conica,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Gomphrena,Amaranthaceae,1810,herb
Gomphrena eichleri J.Palmer,Gomphrena eichleri,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Gomphrena,Amaranthaceae,1998,herb
Gomphrena humifusa J.Palmer,Gomphrena humifusa,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Gomphrena,Amaranthaceae,1998,herb
Gomphrena involucrata Ewart,Gomphrena involucrata,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Gomphrena,Amaranthaceae,1913,herb
Gomphrena leontopodioides Domin,Gomphrena leontopodioides,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Gomphrena,Amaranthaceae,1921,herb
Gomphrena leptophylla (Benth.) J.Palmer,Gomphrena leptophylla,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Gomphrena,Amaranthaceae,1870,herb
Gomphrena rosula J.Palmer,Gomphrena rosula,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Gomphrena,Amaranthaceae,1998,herb
