WaterQualityDateTime,SamplingRecordID,WaterQualityRecordID,WaterQualityDataID,SiteName,SampleLatitude,SampleLongitude,WaterbodyName,BasinName,CatchmentName,SubCatchmentName,Altitude,BottomDepth,RepNo,Depth,Temprature,pH,DO,Conductivity,Turbidity,TurbidityEstimate,SecchiDepth,ActualConductivity,Ammonium,BarometricPressure,Chorophyll_a,Density,DeviceSNPowerPack,DeviceSNSonde,ExternalVoltage,Latitude,Longitude,LocationDepth,Marked,Nitrate,Nitrite,ORP,OxygenPartialPressure,pHmv,Phosphate,Pressure,RDOSaturation,ReadingDatetime - Year,ReadingDatetime - Quarter,ReadingDatetime - Month,ReadingDatetime - Day,Resistivity,Salinity,Sulphate,Temperature789830,Temperature792353,TotalDissolvedSolids,TotalNitrogen,TotalPhosphorus,PROJECT_SEGMENTS
2/14/2017 3:36:00 AM,11521,9797,26696,10 Km Below Lock 7,-34.07452,141.1922,Murray River,Lower Murray,LOWER MURRAY,LAKE VICTORIA and FAR SW,35,3.6000000000000001,1,0.200000003,25.25,8.890000343,8.819999695,0.864000022,116,M,0.170000002,,0,,0,,,,,,,,,0,0,,,,0,,,,,,,,,0,,,,0,0,Basin Plan Environmental Outcomes Monitoring:2016/2017
2/14/2017 3:36:00 AM,11521,9797,26697,10 Km Below Lock 7,-34.07452,141.1922,Murray River,Lower Murray,LOWER MURRAY,LAKE VICTORIA and FAR SW,35,3.6000000000000001,2,0.200000003,25.88999939,9.159999847,8.829999924,0.263000011,117,M,,,0,,0,,,,,,,,,0,0,,,,0,,,,,,,,,0,,,,0,0,Basin Plan Environmental Outcomes Monitoring:2016/2017
2/14/2017 3:36:00 AM,11521,9797,26698,10 Km Below Lock 7,-34.07452,141.1922,Murray River,Lower Murray,LOWER MURRAY,LAKE VICTORIA and FAR SW,35,3.6000000000000001,2,1,25.85000038,9.100000381,8.869999886,0.263000011,115,M,,,0,,0,,,,,,,,,0,0,,,,0,,,,,,,,,0,,,,0,0,Basin Plan Environmental Outcomes Monitoring:2016/2017
2/14/2017 3:36:00 AM,11521,9797,26699,10 Km Below Lock 7,-34.07452,141.1922,Murray River,Lower Murray,LOWER MURRAY,LAKE VICTORIA and FAR SW,35,3.6000000000000001,2,2,25.84000015,9.130000114,9.260000229,0.263000011,119,M,,,0,,0,,,,,,,,,0,0,,,,0,,,,,,,,,0,,,,0,0,Basin Plan Environmental Outcomes Monitoring:2016/2017
2/14/2017 3:36:00 AM,11521,9797,26700,10 Km Below Lock 7,-34.07452,141.1922,Murray River,Lower Murray,LOWER MURRAY,LAKE VICTORIA and FAR SW,35,3.6000000000000001,2,3,25.87999916,9.18999958,9.460000038,0.263000011,119,M,,,0,,0,,,,,,,,,0,0,,,,0,,,,,,,,,0,,,,0,0,Basin Plan Environmental Outcomes Monitoring:2016/2017
10/2/2019 12:48:00 AM,13050,8260,30368,10km down or texas downs,-32.34893,142.47102,Darling River,Darling River,,DARLING-BARWON,67,2,1,0.200000003,18.52000046,8.510000229,6.619999886,0.819000006,22.60000038,M,0.469999999,,0,,0,,,,,,,,,0,0,,,,0,,,,,,,,,0,,,,0,0,"Basin Plan Environmental Outcomes Monitoring:2018/2019,Lower Darling Recovery:2019"
10/2/2019 12:48:00 AM,13050,8260,30369,10km down or texas downs,-32.34893,142.47102,Darling River,Darling River,,DARLING-BARWON,67,2,2,0.200000003,20.82999992,8.510000229,6.989999771,0.818000019,15.80000019,M,0.5,,0,,0,,,,,,,,,0,0,,,,0,,,,,,,,,0,,,,0,0,"Basin Plan Environmental Outcomes Monitoring:2018/2019,Lower Darling Recovery:2019"
10/2/2019 12:48:00 AM,13050,8260,30370,10km down or texas downs,-32.34893,142.47102,Darling River,Darling River,,DARLING-BARWON,67,2,1,1,18.60000038,8.640000343,6.829999924,0.815999985,22.89999962,M,,,0,,0,,,,,,,,,0,0,,,,0,,,,,,,,,0,,,,0,0,"Basin Plan Environmental Outcomes Monitoring:2018/2019,Lower Darling Recovery:2019"
10/2/2019 12:48:00 AM,13050,8260,30371,10km down or texas downs,-32.34893,142.47102,Darling River,Darling River,,DARLING-BARWON,67,2,1,2,18.02000046,8.590000153,6.070000172,0.818000019,21.5,M,,,0,,0,,,,,,,,,0,0,,,,0,,,,,,,,,0,,,,0,0,"Basin Plan Environmental Outcomes Monitoring:2018/2019,Lower Darling Recovery:2019"
11/8/2016 5:10:00 AM,10982,9291,25163,117 Track of Geehi Dam Road,-36.25852,148.32488,Geehi River,Upper Murray,MURRAY,UPPER MURRAY,1230,0.69999999999999996,1,0.200000003,12.60000038,7.739999771,9.18999958,0.021,0,C,0.699999988,,0,,0,,,,,,,,,0,0,,,,0,,,,,,,,,0,,,,0,0,Basin Plan Environmental Outcomes Monitoring:2016/2017
11/8/2016 5:10:00 AM,10982,9291,25164,117 Track of Geehi Dam Road,-36.25852,148.32488,Geehi River,Upper Murray,MURRAY,UPPER MURRAY,1230,0.69999999999999996,2,0.200000003,12.40999985,7.639999866,8.56000042,0.017000001,0,C,,,0,,0,,,,,,,,,0,0,,,,0,,,,,,,,,0,,,,0,0,Basin Plan Environmental Outcomes Monitoring:2016/2017
10/3/2019 1:18:00 AM,13052,8258,30358,22km down or 2km above menidee  rail bridge,-32.37955,142.44739,Darling River,Lower Darling,,DARLING-BARWON,67,3,1,0.200000003,18.61000061,8.649999619,9.470000267,1.00999999,4.400000095,M,0.670000017,,0,,0,,,,,,,,,0,0,,,,0,,,,,,,,,0,,,,0,0,"Basin Plan Environmental Outcomes Monitoring:2018/2019,Lower Darling Recovery:2019"
10/3/2019 1:18:00 AM,13052,8258,30359,22km down or 2km above menidee  rail bridge,-32.37955,142.44739,Darling River,Lower Darling,,DARLING-BARWON,67,3,2,0.200000003,19.07999992,8.649999619,7.5,1.00999999,4.199999809,M,0.589999974,,0,,0,,,,,,,,,0,0,,,,0,,,,,,,,,0,,,,0,0,"Basin Plan Environmental Outcomes Monitoring:2018/2019,Lower Darling Recovery:2019"
10/3/2019 1:18:00 AM,13052,8258,30360,22km down or 2km above menidee  rail bridge,-32.37955,142.44739,Darling River,Lower Darling,,DARLING-BARWON,67,3,1,1,18.93000031,8.630000114,8.510000229,1.019999981,5.699999809,M,,,0,,0,,,,,,,,,0,0,,,,0,,,,,,,,,0,,,,0,0,"Basin Plan Environmental Outcomes Monitoring:2018/2019,Lower Darling Recovery:2019"
10/3/2019 1:18:00 AM,13052,8258,30361,22km down or 2km above menidee  rail bridge,-32.37955,142.44739,Darling River,Lower Darling,,DARLING-BARWON,67,3,1,2,18.43000031,8.449999809,3.529999971,1.019999981,8.600000381,M,,,0,,0,,,,,,,,,0,0,,,,0,,,,,,,,,0,,,,0,0,"Basin Plan Environmental Outcomes Monitoring:2018/2019,Lower Darling Recovery:2019"
10/3/2019 1:18:00 AM,13052,8258,30362,22km down or 2km above menidee  rail bridge,-32.37955,142.44739,Darling River,Lower Darling,,DARLING-BARWON,67,3,1,3,17.79999924,8.199999809,2.859999895,1.029999971,20.10000038,M,,,0,,0,,,,,,,,,0,0,,,,0,,,,,,,,,0,,,,0,0,"Basin Plan Environmental Outcomes Monitoring:2018/2019,Lower Darling Recovery:2019"
6/18/2019 12:50:00 AM,12884,8156,29964,2km D/S Menindee Bridge,-32.4026,142.4002,Darling River,Darling River,,LOWER DARLING CATCHMENT,,4,1,0.200000003,11.53999996,7.130000114,8.699999809,1.200000048,18.39999962,,0.430000007,,0,,0,,,,,,,,,0,0,,,,0,,,,,,,,,0,,,,0,0,"Basin Plan Environmental Outcomes Monitoring:2018/2019,Lower Darling Recovery:2019"
