species,APC_name,family
Senecio niveoplanus I.Thomps.,Senecio niveoplanus,Asteraceae
Gentianella sylvicola (L.G.Adams) Glenny,Gentianella sylvicola,Gentianaceae
Caladenia armata (D.L.Jones) G.N.Backh.,Caladenia armata,Orchidaceae
Pterostylis clivicola (D.L.Jones) G.N.Backh.,Pterostylis clivicola,Orchidaceae
Lepidosperma latens K.L.Wilson,Lepidosperma latens,Cyperaceae
Juncus brevibracteus L.A.S.Johnson,Juncus brevibracteus,Juncaceae
Agrostis australiensis Mez,Agrostis australiensis,Poaceae
Agrostis joyceae S.W.L.Jacobs,Agrostis joyceae,Poaceae
Agrostis propinqua S.W.L.Jacobs,Agrostis propinqua,Poaceae
Amphibromus pithogastrus S.W.L.Jacobs & Lapinpuro,Amphibromus pithogastrus,Poaceae
Deyeuxia brachyathera (Stapf) Vickery,Deyeuxia brachyathera,Poaceae
Deyeuxia breviglumis Benth.,Deyeuxia breviglumis,Poaceae
Deyeuxia imbricata Vickery,Deyeuxia imbricata,Poaceae
Deyeuxia innominata D.I.Morris,Deyeuxia innominata,Poaceae
Deyeuxia rodwayi Vickery,Deyeuxia rodwayi,Poaceae
Deyeuxia valida (Vickery) C.M.Weiller,Deyeuxia valida,Poaceae
Dichelachne hirtella N.G.Walsh,Dichelachne hirtella,Poaceae
Koeleria macrantha (Ledeb.) Schult.,Koeleria macrantha,Poaceae
Lachnagrostis meionectes (Vickery) S.W.L.Jacobs,Lachnagrostis meionectes,Poaceae
Myriophyllum lophatum Orchard,Myriophyllum lophatum,Haloragaceae
Cardamine franklinensis I.Thomps.,Cardamine franklinensis,Brassicaceae
Geranium obtusisepalum Carolin,Geranium obtusisepalum,Geraniaceae
