species,APC_name,family
Selaginella alutacia Spring,Selaginella alutacia,Selaginellaceae
Blumea balsamifera (L.) DC.,Blumea balsamifera,Asteraceae
Blumea lanceolaria (Wall. ex Roxb.) Druce,Blumea lanceolaria,Asteraceae
Ehretia javanica Blume,Ehretia javanica,Boraginaceae
Ardisia sanguinolenta Wall. ex Blume,Ardisia sanguinolenta,Primulaceae
Amaracarpus pubescens Blume,Amaracarpus pubescens,Rubiaceae
Asystasia alba Ridl.,Asystasia alba,Acanthaceae
Dicliptera maclearii Hemsl.,Dicliptera maclearii,Acanthaceae
Premna pubescens Blume,Premna pubescens,Lamiaceae
Ligustrum glomeratum Blume,Ligustrum glomeratum,Oleaceae
Lycianthes biflora (Lour.) Bitter,Lycianthes biflora,Solanaceae
Solanum ferox L.,Solanum ferox,Solanaceae
Balanophora abbreviata Blume,Balanophora abbreviata,Balanophoraceae
Portulaca tuberosa Roxb.,Portulaca tuberosa,Portulacaceae
Illigera elegans Duyfjes,Illigera elegans,Hernandiaceae
Cinnamomum iners (Reinw. ex Nees & T.Nees) Blume,Cinnamomum iners,Lauraceae
Cryptocarya nitens (Blume) Koord. & Valeton,Cryptocarya nitens,Lauraceae
Eria retusa (Blume) Rchb.f.,Eria retusa,Orchidaceae
Flickingeria nativitatis (Ridl.) J.J.Wood,Flickingeria nativitatis,Orchidaceae
Taeniophyllum hasseltii Rchb.f.,Taeniophyllum hasseltii,Orchidaceae
Thelasis capitata Blume,Thelasis capitata,Orchidaceae
Digitaria radicosa (J.Presl) Miq.,Digitaria radicosa,Poaceae
Ischaemum polystachyum J.Presl,Ischaemum polystachyum,Poaceae
Setaria clivalis (Ridl.) Veldkamp,Setaria clivalis,Poaceae
Sorghum propinquum (Kunth) Hitchc.,Sorghum propinquum,Poaceae
Peperomia laevifolia (Blume) Miq.,Peperomia laevifolia,Piperaceae
Peperomia rossii Rendle,Peperomia rossii,Piperaceae
Celastrus paniculatus Willd.,Celastrus paniculatus,Celastraceae
Zehneria mucronata (Blume) Miq.,Zehneria mucronata,Cucurbitaceae
Derris elliptica (Wall.) Benth.,Derris elliptica,Fabaceae
Mammea odorata (Raf.) Kosterm.,Mammea odorata,Clusiaceae
Grewia insularis Ridl.,Grewia insularis,Malvaceae
Triumfetta suffruticosa Blume,Triumfetta suffruticosa,Malvaceae
Combretum acuminatum Roxb.,Combretum acuminatum,Combretaceae
Ficus saxophila Blume,Ficus saxophila,Moraceae
Spondias dulcis Parkinson,Spondias dulcis,Anacardiaceae
Acronychia trifoliolata Zoll. & Moritzi,Acronychia trifoliolata,Rutaceae
Cayratia pedata (Lam.) Gagnep.,Cayratia pedata,Vitaceae
Vitis flexuosa Thunb.,Vitis flexuosa,Vitaceae
Bolbitis heteroclita (C.Presl) Ching,Bolbitis heteroclita,Dryopteridaceae
Leptochilus decurrens Blume,Leptochilus decurrens,Polypodiaceae
Pteridrys syrmatica (Willd.) C.Chr. & Ching,Pteridrys syrmatica,Tectariaceae
Tectaria dissecta (G.Forst.) Lellinger,Tectaria dissecta,Tectariaceae
Pneumatopteris truncata (Poir.) Holttum,Pneumatopteris truncata,Thelypteridaceae
