species,APC_name,family
Isoetes cristata C.R.Marsden & Chinnock,Isoetes cristata,Isoetaceae
Trachymene dusenii (Domin) F.M.Bailey,Trachymene dusenii,Araliaceae
Trachymene glandulosa (F.Muell.) Benth.,Trachymene glandulosa,Araliaceae
Trachymene inflata Maconochie,Trachymene inflata,Araliaceae
Trachymene longipedunculata Maconochie,Trachymene longipedunculata,Araliaceae
Trachymene umbratica J.M.Hart,Trachymene umbratica,Araliaceae
Trachymene villosa (F.Muell.) Benth.,Trachymene villosa,Araliaceae
Acunniana procumbens (DC.) Orchard,Acunniana procumbens,Asteraceae
Apowollastonia hibernica Orchard,Apowollastonia hibernica,Asteraceae
Apowollastonia verbesinoides (F.Muell. ex Benth.) Orchard,Apowollastonia verbesinoides,Asteraceae
Athroisma laciniatum DC.,Athroisma laciniatum,Asteraceae
Blainvillea calcicola Orchard,Blainvillea calcicola,Asteraceae
Blainvillea cunninghamii (DC.) Orchard,Blainvillea cunninghamii,Asteraceae
Blumea benthamiana Domin,Blumea benthamiana,Asteraceae
Blumea psammophila Dunlop,Blumea psammophila,Asteraceae
Blumea pungens W.Fitzg.,Blumea pungens,Asteraceae
Calotis xanthosioidea Domin,Calotis xanthosioidea,Asteraceae
Cyanthillium patulum (Aiton) H.Rob.,Cyanthillium patulum,Asteraceae
Diodontium filifolium F.Muell.,Diodontium filifolium,Asteraceae
Eclipta alatocarpa Melville,Eclipta alatocarpa,Asteraceae
Eriochlamys eremaea N.G.Walsh,Eriochlamys eremaea,Asteraceae
Iotasperma sessilifolium (F.Muell.) G.L.Nesom,Iotasperma sessilifolium,Asteraceae
Minuria macrorhiza (DC.) Lander,Minuria macrorhiza,Asteraceae
Minuria tridens (D.A.Cooke) Lander,Minuria tridens,Asteraceae
Olearia arida E.Pritz.,Olearia arida,Asteraceae
Ozothamnus filifolius Puttock,Ozothamnus filifolius,Asteraceae
Pentalepis ecliptoides F.Muell.,Pentalepis ecliptoides,Asteraceae
Pentalepis grandis E.W.Cross,Pentalepis grandis,Asteraceae
Pentalepis kakaduensis E.W.Cross,Pentalepis kakaduensis,Asteraceae
Pluchea macdonnellensis Albr. & A.R.Bean,Pluchea macdonnellensis,Asteraceae
Pluchea mesotes A.R.Bean,Pluchea mesotes,Asteraceae
Podolepis remota Jeanes,Podolepis remota,Asteraceae
Pterocaulon discolor A.R.Bean,Pterocaulon discolor,Asteraceae
Pterocaulon niveum Cabrera & Ragonese,Pterocaulon niveum,Asteraceae
Pterocaulon paradoxum A.R.Bean,Pterocaulon paradoxum,Asteraceae
Pterocaulon tricholobum A.R.Bean,Pterocaulon tricholobum,Asteraceae
Pycnosorus eremaeus J.Everett & Doust,Pycnosorus eremaeus,Asteraceae
Rhodanthe gossypina Paul G.Wilson,Rhodanthe gossypina,Asteraceae
Senecio eremicola I.Thomps.,Senecio eremicola,Asteraceae
Senecio laceratus (F.Muell.) Belcher,Senecio laceratus,Asteraceae
Thespidium basiflorum (F.Muell.) F.Muell. ex Benth.,Thespidium basiflorum,Asteraceae
Tietkensia corrickiae P.S.Short,Tietkensia corrickiae,Asteraceae
Isotoma gulliveri F.Muell.,Isotoma gulliveri,Campanulaceae
Isotoma luticola Carolin,Isotoma luticola,Campanulaceae
Goodenia asteriscus P.J.Lang,Goodenia asteriscus,Goodeniaceae
Goodenia brunnea Carolin,Goodenia brunnea,Goodeniaceae
Goodenia campestris Carolin,Goodenia campestris,Goodeniaceae
Goodenia chthonocephala Carolin,Goodenia chthonocephala,Goodeniaceae
Goodenia cylindrocarpa Albr.,Goodenia cylindrocarpa,Goodeniaceae
Goodenia durackiana Carolin,Goodenia durackiana,Goodeniaceae
