species,APC_name,family
Cycas distans P.I.Forst. & B.Gray,Cycas distans,Cycadaceae
Cycas scratchleyana F.Muell.,Cycas scratchleyana,Cycadaceae
Lycopodiella limosa Chinnock,Lycopodiella limosa,Lycopodiaceae
Phlegmariurus filiformis (Sw.) W.H.Wagner,Phlegmariurus filiformis,Lycopodiaceae
Selaginella longiciliata Hieron.,Selaginella longiciliata,Selaginellaceae
Eryngium fontanum A.E.Holland & E.J.Thomps.,Eryngium fontanum,Apiaceae
Astrotricha brachyandra A.R.Bean,Astrotricha brachyandra,Araliaceae
Astrotricha pauciflora A.R.Bean,Astrotricha pauciflora,Araliaceae
Hydrocotyle digitata A.R.Bean & Henwood,Hydrocotyle digitata,Araliaceae
Hydrocotyle dipleura A.R.Bean,Hydrocotyle dipleura,Araliaceae
Hydrocotyle oraria A.R.Bean,Hydrocotyle oraria,Araliaceae
Polyscias scutellaria (Burm.f.) Fosberg,Polyscias scutellaria,Araliaceae
Trachymene clivicola Boyland & A.E.Holland,Trachymene clivicola,Araliaceae
Trachymene cussonii (Montrouz.) B.L.Burtt,Trachymene cussonii,Araliaceae
Trachymene glandulosa (F.Muell.) Benth.,Trachymene glandulosa,Araliaceae
Trachymene montana A.E.Holland,Trachymene montana,Araliaceae
Argophyllum iridescens A.R.Bean & P.I.Forst.,Argophyllum iridescens,Argophyllaceae
Argophyllum palumense A.R.Bean & P.I.Forst.,Argophyllum palumense,Argophyllaceae
Acomis bella A.E.Holland,Acomis bella,Asteraceae
Blainvillea acmella (L.) Philipson,Blainvillea acmella,Asteraceae
Blainvillea cunninghamii (DC.) Orchard,Blainvillea cunninghamii,Asteraceae
Blumea benthamiana Domin,Blumea benthamiana,Asteraceae
Blumea milnei Seem.,Blumea milnei,Asteraceae
Blumea riparia DC.,Blumea riparia,Asteraceae
Blumea sinuata (Lour.) Merr.,Blumea sinuata,Asteraceae
Brachyscome campylocarpa J.M.Black,Brachyscome campylocarpa,Asteraceae
Brachyscome casstiana P.S.Short,Brachyscome casstiana,Asteraceae
Brachyscome georginensis P.S.Short,Brachyscome georginensis,Asteraceae
Brachyscome watanabei P.S.Short,Brachyscome watanabei,Asteraceae
Calocephalus birchii P.S.Short,Calocephalus birchii,Asteraceae
Calocephalus glabratus P.S.Short,Calocephalus glabratus,Asteraceae
Calotis glabrescens C.T.White,Calotis glabrescens,Asteraceae
Calotis inermis Maiden & Betche,Calotis inermis,Asteraceae
Calotis suffruticosa Domin,Calotis suffruticosa,Asteraceae
Calotis xanthosioidea Domin,Calotis xanthosioidea,Asteraceae
Cassinia cinerea Orchard,Cassinia cinerea,Asteraceae
Cassinia collina C.T.White,Cassinia collina,Asteraceae
Cassinia wyberbensis Orchard,Cassinia wyberbensis,Asteraceae
Coronidium cymosum Paul G.Wilson,Coronidium cymosum,Asteraceae
Cymbonotus maidenii (Beauverd) A.E.Holland & V.A.Funk,Cymbonotus maidenii,Asteraceae
Decaneuropsis obovata (Gaudich.) H.Rob. & Skvarla,Decaneuropsis obovata,Asteraceae
Eclipta alatocarpa Melville,Eclipta alatocarpa,Asteraceae
Eriochlamys cupularis N.G.Walsh,Eriochlamys cupularis,Asteraceae
Eschenbachia aegyptiaca (L.) Brouillet,Eschenbachia aegyptiaca,Asteraceae
Ethuliopsis cunninghamii (Hook.) F.Muell.,Ethuliopsis cunninghamii,Asteraceae
Glossocardia orthochaeta (F.Muell.) Veldkamp,Glossocardia orthochaeta,Asteraceae
Hemisteptia lyrata (Bunge) Fisch. & C.A.Mey.,Hemisteptia lyrata,Asteraceae
Iotasperma sessilifolium (F.Muell.) G.L.Nesom,Iotasperma sessilifolium,Asteraceae
Lagenophora fimbriata Jian Wang ter & A.R.Bean,Lagenophora fimbriata,Asteraceae
Lagenophora queenslandica Jian Wang ter & A.R.Bean,Lagenophora queenslandica,Asteraceae
Minuria macrorhiza (DC.) Lander,Minuria macrorhiza,Asteraceae
Olearia bella A.R.Bean & Jobson,Olearia bella,Asteraceae
Olearia cuneifolia A.R.Bean & M.T.Mathieson,Olearia cuneifolia,Asteraceae
Olearia gordonii Lander,Olearia gordonii,Asteraceae
Olearia hygrophila (DC.) Benth.,Olearia hygrophila,Asteraceae
Olearia orientalis A.R.Bean & Jobson,Olearia orientalis,Asteraceae
Olearia racemosa Domin,Olearia racemosa,Asteraceae
Pluchea alata A.R.Bean,Pluchea alata,Asteraceae
Pluchea baccharoides (F.Muell.) F.Muell. ex Benth.,Pluchea baccharoides,Asteraceae
Pluchea punctata A.R.Bean,Pluchea punctata,Asteraceae
Pluchea tenuis A.R.Bean,Pluchea tenuis,Asteraceae
Pluchea xanthina A.R.Bean,Pluchea xanthina,Asteraceae
Pterocaulon tricholobum A.R.Bean,Pterocaulon tricholobum,Asteraceae
Pycnosorus eremaeus J.Everett & Doust,Pycnosorus eremaeus,Asteraceae
Pycnosorus thompsonianus J.Everett & Doust,Pycnosorus thompsonianus,Asteraceae
