species,APC_name,family
Isoetes attenuata C.R.Marsden & Chinnock,Isoetes attenuata,Isoetaceae
Centella uniflora (Colenso) Nannf.,Centella uniflora,Apiaceae
Hydrocotyle comocarpa F.Muell.,Hydrocotyle comocarpa,Araliaceae
Hydrocotyle crassiuscula Tate,Hydrocotyle crassiuscula,Araliaceae
Hydrocotyle plebeya R.Br. ex A.Rich.,Hydrocotyle plebeya,Araliaceae
Cheiranthera volubilis Benth.,Cheiranthera volubilis,Pittosporaceae
Achnophora tatei F.Muell.,Achnophora tatei,Asteraceae
Angianthus conocephalus (J.M.Black) P.S.Short,Angianthus conocephalus,Asteraceae
Angianthus glabratus P.S.Short,Angianthus glabratus,Asteraceae
Angianthus phyllocalymmeus (F.Muell.) Druce,Angianthus phyllocalymmeus,Asteraceae
Basedowia tenerrima (F.Muell. & Tate) J.M.Black,Basedowia tenerrima,Asteraceae
Brachyscome breviscapis C.R.Carter,Brachyscome breviscapis,Asteraceae
Brachyscome campylocarpa J.M.Black,Brachyscome campylocarpa,Asteraceae
Brachyscome muelleri Sond.,Brachyscome muelleri,Asteraceae
Brachyscome xanthocarpa D.A.Cooke,Brachyscome xanthocarpa,Asteraceae
Calocephalus badmanii P.S.Short,Calocephalus badmanii,Asteraceae
Calotis breviradiata (Ising) G.L.Davis,Calotis breviradiata,Asteraceae
Cassinia tegulata Orchard,Cassinia tegulata,Asteraceae
Chondropyxis halophila D.A.Cooke,Chondropyxis halophila,Asteraceae
Coronidium densifolium J.M.Black ex N.G.Walsh,Coronidium densifolium,Asteraceae
Dimorphocoma minutula F.Muell. & Tate,Dimorphocoma minutula,Asteraceae
Eclipta alatocarpa Melville,Eclipta alatocarpa,Asteraceae
Eriochlamys cupularis N.G.Walsh,Eriochlamys cupularis,Asteraceae
Eriochlamys eremaea N.G.Walsh,Eriochlamys eremaea,Asteraceae
Erymophyllum hemisphaericum Paul G.Wilson,Erymophyllum hemisphaericum,Asteraceae
Ethuliopsis cunninghamii (Hook.) F.Muell.,Ethuliopsis cunninghamii,Asteraceae
Gratwickia monochaeta F.Muell.,Gratwickia monochaeta,Asteraceae
Haeckeria cassiniiformis F.Muell.,Haeckeria cassiniiformis,Asteraceae
Haegiela tatei (F.Muell.) P.S.Short & Paul G.Wilson,Haegiela tatei,Asteraceae
Hyalosperma stoveae (D.A.Cooke) Paul G.Wilson,Hyalosperma stoveae,Asteraceae
Iotasperma sessilifolium (F.Muell.) G.L.Nesom,Iotasperma sessilifolium,Asteraceae
Ixodia flindersica Copley,Ixodia flindersica,Asteraceae
Leptorhynchos melanocarpus Paul G.Wilson,Leptorhynchos melanocarpus,Asteraceae
Millotia incurva (D.A.Cooke) P.S.Short,Millotia incurva,Asteraceae
Millotia major (Turcz.) P.S.Short,Millotia major,Asteraceae
Minuria annua (Tate) J.M.Black,Minuria annua,Asteraceae
Myriocephalus squamatus Paul G.Wilson,Myriocephalus squamatus,Asteraceae
Olearia arckaringensis P.J.Lang,Olearia arckaringensis,Asteraceae
Olearia arida E.Pritz.,Olearia arida,Asteraceae
Ozothamnus scaber F.Muell.,Ozothamnus scaber,Asteraceae
Pycnosorus eremaeus J.Everett & Doust,Pycnosorus eremaeus,Asteraceae
Rhodanthe gossypina Paul G.Wilson,Rhodanthe gossypina,Asteraceae
Rhodanthe haigii (F.Muell.) Paul G.Wilson,Rhodanthe haigii,Asteraceae
Senecio eremicola I.Thomps.,Senecio eremicola,Asteraceae
Senecio euclaensis I.Thomps.,Senecio euclaensis,Asteraceae
Senecio gawlerensis M.E.Lawr.,Senecio gawlerensis,Asteraceae
Senecio gypsicola (R.J.Bates) I.Thomps.,Senecio gypsicola,Asteraceae
Senecio halophilus I.Thomps.,Senecio halophilus,Asteraceae
Senecio helichrysoides F.Muell.,Senecio helichrysoides,Asteraceae
Senecio laceratus (F.Muell.) Belcher,Senecio laceratus,Asteraceae
Senecio longicollaris I.Thomps.,Senecio longicollaris,Asteraceae
Senecio pilosicristus I.Thomps.,Senecio pilosicristus,Asteraceae
Senecio serratiformis I.Thomps.,Senecio serratiformis,Asteraceae
Tietkensia corrickiae P.S.Short,Tietkensia corrickiae,Asteraceae
Vittadinia condyloides N.T.Burb.,Vittadinia condyloides,Asteraceae
Vittadinia nullarborensis N.T.Burb.,Vittadinia nullarborensis,Asteraceae
Xerochrysum halmaturorum Paul G.Wilson,Xerochrysum halmaturorum,Asteraceae
Isotoma luticola Carolin,Isotoma luticola,Campanulaceae
Lobelia cleistogamoides N.G.Walsh & Albr.,Lobelia cleistogamoides,Campanulaceae
Wahlenbergia aridicola P.J.Sm.,Wahlenbergia aridicola,Campanulaceae
Goodenia asteriscus P.J.Lang,Goodenia asteriscus,Goodeniaceae
Goodenia brunnea Carolin,Goodenia brunnea,Goodeniaceae
Goodenia lobata Ising,Goodenia lobata,Goodeniaceae
Goodenia valdentata P.J.Lang,Goodenia valdentata,Goodeniaceae
Lechenaultia aphylla D.A.Morrison,Lechenaultia aphylla,Goodeniaceae
Scaevola collina J.M.Black ex E.L.Robertson,Scaevola collina,Goodeniaceae
Scaevola obovata Carolin,Scaevola obovata,Goodeniaceae
Stylidium tepperianum (F.Muell.) Mildbr.,Stylidium tepperianum,Stylidiaceae
Embadium johnstonii Ising,Embadium johnstonii,Boraginaceae
Embadium stagnense J.M.Black,Embadium stagnense,Boraginaceae
Embadium uncinatum Ising,Embadium uncinatum,Boraginaceae
Heliotropium tanythrix Craven,Heliotropium tanythrix,Boraginaceae
Plagiobothrys elachanthus (F.Muell.) I.M.Johnst.,Plagiobothrys elachanthus,Boraginaceae
Plagiobothrys orthostatus J.M.Black,Plagiobothrys orthostatus,Boraginaceae
Acrotriche halmaturina B.R.Paterson,Acrotriche halmaturina,Ericaceae
Gentianella clelandii (L.G.Adams) Glenny,Gentianella clelandii,Gentianaceae
Logania insularis J.M.Black,Logania insularis,Loganiaceae
Logania scabrella B.J.Conn,Logania scabrella,Loganiaceae
Asperula syrticola (Miq.) Toelken,Asperula syrticola,Rubiaceae
Asperula tetraphylla (Airy Shaw & Turrill) I.Thomps.,Asperula tetraphylla,Rubiaceae
Galium bulliformis I.Thomps.,Galium bulliformis,Rubiaceae
Galium microlobum I.Thomps.,Galium microlobum,Rubiaceae
Psydrax suaveolens (S.Moore) S.T.Reynolds & R.J.F.Hend.,Psydrax suaveolens,Rubiaceae
Mentha atrolilacina B.J.Conn & D.J.Duval,Mentha atrolilacina,Lamiaceae
Prostanthera ammophila B.J.Conn,Prostanthera ammophila,Lamiaceae
Utricularia fenshamii R.W.Jobson,Utricularia fenshamii,Lentibulariaceae
Peplidium foecundum W.R.Barker,Peplidium foecundum,Phrymaceae
Callitriche umbonata Hegelm.,Callitriche umbonata,Plantaginaceae
