species,APC_name,family
Isoetes elatior F.Muell. ex A.Braun,Isoetes elatior,Isoetaceae
Isoetes humilior F.Muell. ex A.Braun,Isoetes humilior,Isoetaceae
Oreomyrrhis gunnii Mathias & Constance,Oreomyrrhis gunnii,Apiaceae
Hydrocotyle comocarpa F.Muell.,Hydrocotyle comocarpa,Araliaceae
Billardiera viridiflora L.Cayzer & D.L.Jones,Billardiera viridiflora,Pittosporaceae
Brachyscome radicata Hook.f.,Brachyscome radicata,Asteraceae
Euchiton lateralis (C.J.Webb) Breitw. & J.M.Ward,Euchiton lateralis,Asteraceae
Ozothamnus buchananii Puttock ex de Salas & Schmidt-Leb.,Ozothamnus buchananii,Asteraceae
Ozothamnus floribundus de Salas & Schmidt-Leb.,Ozothamnus floribundus,Asteraceae
Ozothamnus gunnii Hook.f.,Ozothamnus gunnii,Asteraceae
Senecio longipilus I.Thomps.,Senecio longipilus,Asteraceae
Archeria minor Hook.f.,Archeria minor,Ericaceae
Galium albescens Hook.f.,Galium albescens,Rubiaceae
Callitriche umbonata Hegelm.,Callitriche umbonata,Plantaginaceae
Plantago glabrata Hook.f.,Plantago glabrata,Plantaginaceae
Euphrasia fragosa W.R.Barker,Euphrasia fragosa,Scrophulariaceae
Althenia australis (J.Drumm. ex Harv.) F.Muell.,Althenia australis,Potamogetonaceae
Althenia bilocularis (Kirk) Cockayne,Althenia bilocularis,Potamogetonaceae
Althenia marina (E.L.Robertson) Yu Ito,Althenia marina,Potamogetonaceae
Althenia patentifolia (E.L.Robertson) T.D.Macfarl. & D.D.Sokoloff,Althenia patentifolia,Potamogetonaceae
Althenia preissii (Lehm.) F.Muell.,Althenia preissii,Potamogetonaceae
Caladenia pallida Lindl.,Caladenia pallida,Orchidaceae
Prasophyllum secutum D.L.Jones,Prasophyllum secutum,Orchidaceae
Thynninorchis nothofagicola (D.L.Jones) D.L.Jones & M.A.Clem.,Thynninorchis nothofagicola,Orchidaceae
Gaimardia amblyphylla W.M.Curtis,Gaimardia amblyphylla,Centrolepidaceae
Carex cataractae R.Br.,Carex cataractae,Cyperaceae
Carex cheesemanniana (Boeckeler) K.A.Ford,Carex cheesemanniana,Cyperaceae
Carex subtilis K.A.Ford,Carex subtilis,Cyperaceae
Isolepis alpina Hook.f.,Isolepis alpina,Cyperaceae
Isolepis limbata W.M.Curtis,Isolepis limbata,Cyperaceae
Isolepis tasmanica (S.T.Blake) K.L.Wilson,Isolepis tasmanica,Cyperaceae
Isolepis wakefieldiana (S.T.Blake) K.L.Wilson,Isolepis wakefieldiana,Cyperaceae
Lepidosperma forsythii A.A.Ham.,Lepidosperma forsythii,Cyperaceae
Lepidosperma lineare R.Br.,Lepidosperma lineare,Cyperaceae
Lepidosperma monticola G.T.Plunkett & J.J.Bruhl,Lepidosperma monticola,Cyperaceae
Oreobolus tholicarpus D.I.Morris,Oreobolus tholicarpus,Cyperaceae
Schoenus absconditus Kük.,Schoenus absconditus,Cyperaceae
Schoenus biglumis Kük.,Schoenus biglumis,Cyperaceae
Schoenus fluitans Hook.f.,Schoenus fluitans,Cyperaceae
Schoenus pygmaeus S.T.Blake,Schoenus pygmaeus,Cyperaceae
Luzula poimena W.M.Curtis,Luzula poimena,Juncaceae
Agrostis australiensis Mez,Agrostis australiensis,Poaceae
Agrostis diemenica D.I.Morris,Agrostis diemenica,Poaceae
Agrostis joyceae S.W.L.Jacobs,Agrostis joyceae,Poaceae
Agrostis propinqua S.W.L.Jacobs,Agrostis propinqua,Poaceae
Amphibromus sinuatus S.W.L.Jacobs & Lapinpuro,Amphibromus sinuatus,Poaceae
Deschampsia gracillima Kirk,Deschampsia gracillima,Poaceae
Deyeuxia apsleyensis D.I.Morris,Deyeuxia apsleyensis,Poaceae
