Family,Number,Total %
Poaceae,343,9.090909090909092
Fabaceae,328,8.693347468857674
Asteraceae,270,7.156109196925524
Myrtaceae,263,6.970580439968195
Cyperaceae,256,6.785051683010866
Orchidaceae,149,3.9491121123774184
Malvaceae,140,3.710575139146568
Lamiaceae,120,3.1804929764113434
Ericaceae,91,2.411873840445269
Rubiaceae,90,2.385369732308508
Dilleniaceae,84,2.2263450834879404
Euphorbiaceae,84,2.2263450834879404
Chenopodiaceae,80,2.1203286509408956
Goodeniaceae,65,1.722767028889478
Solanaceae,64,1.6962629207527165
Rutaceae,61,1.6167505963424331
Restionaceae,59,1.5637423800689105
Proteaceae,57,1.5107341637953882
Rhamnaceae,57,1.5107341637953882
Boraginaceae,54,1.4312218393851046
Loganiaceae,42,1.1131725417439702
Stylidiaceae,42,1.1131725417439702
Phyllanthaceae,39,1.0336602173336868
Polygalaceae,38,1.0071561091969254
Amaranthaceae,37,0.9806520010601644
Haloragaceae,37,0.9806520010601644
Brassicaceae,33,0.8746355685131195
Scrophulariaceae,33,0.8746355685131195
Araliaceae,30,0.7951232441028359
Linderniaceae,28,0.7421150278293136
Apocynaceae,26,0.6891068115557911
Convolvulaceae,25,0.6626027034190299
Asparagaceae,23,0.6095944871455076
Lauraceae,22,0.5830903790087464
Sapindaceae,22,0.5830903790087464
Eriocaulaceae,19,0.5035780545984627
Haemodoraceae,19,0.5035780545984627
Frankeniaceae,16,0.4240657301881791
Portulacaceae,16,0.4240657301881791
Hydrocharitaceae,15,0.39756162205141793
Lentibulariaceae,15,0.39756162205141793
Primulaceae,12,0.3180492976411344
Thymelaeaceae,12,0.3180492976411344
Celastraceae,11,0.2915451895043732
Zygophyllaceae,11,0.2915451895043732
Acanthaceae,10,0.26504108136761195
Hemerocallidaceae,10,0.26504108136761195
Aizoaceae,9,0.23853697323085077
Amaryllidaceae,9,0.23853697323085077
Apiaceae,9,0.23853697323085077
Campanulaceae,9,0.23853697323085077
Droseraceae,9,0.23853697323085077
Elaeocarpaceae,9,0.23853697323085077
Plantaginaceae,9,0.23853697323085077
Santalaceae,9,0.23853697323085077
Caryophyllaceae,8,0.21203286509408956
Centrolepidaceae,8,0.21203286509408956
Hymenophyllaceae,8,0.21203286509408956
Isoetaceae,8,0.21203286509408956
Juncaceae,8,0.21203286509408956
Potamogetonaceae,8,0.21203286509408956
Pteridaceae,8,0.21203286509408956
Casuarinaceae,7,0.1855287569573284
Cleomaceae,7,0.1855287569573284
Loranthaceae,7,0.1855287569573284
Colchicaceae,6,0.1590246488205672
Commelinaceae,6,0.1590246488205672
Gentianaceae,6,0.1590246488205672
Gyrostemonaceae,6,0.1590246488205672
Lythraceae,6,0.1590246488205672
Nymphaeaceae,6,0.1590246488205672
Phrymaceae,6,0.1590246488205672
Pittosporaceae,6,0.1590246488205672
Polypodiaceae,6,0.1590246488205672
Xyridaceae,6,0.1590246488205672
Aponogetonaceae,5,0.13252054068380598
Combretaceae,5,0.13252054068380598
