Family,Number,Total %
Acacia,98,2.5987801644126227
Hibbertia,84,2.2275258552108195
Fimbristylis,57,1.511535401750199
Solanum,56,1.485017236807213
Leucopogon,53,1.405462741978255
Heliotropium,46,1.2198355873773536
Goodenia,43,1.1402810925483957
Stylidium,42,1.1137629276054097
Pterostylis,40,1.0607265977194378
Schoenus,40,1.0607265977194378
Cyperus,38,1.007690267833466
Lepidosperma,37,0.98117210289048
Triumfetta,35,0.928135773004508
Senecio,32,0.8485812781755503
Spermacoce,32,0.8485812781755503
Eremophila,30,0.7955449482895784
Polygala,30,0.7955449482895784
Boronia,27,0.7159904534606205
Mitrasacme,27,0.7159904534606205
Euphorbia,26,0.6894722885176346
Melaleuca,25,0.6629541235746487
Triodia,25,0.6629541235746487
Grevillea,24,0.6364359586316627
Aristida,23,0.6099177936886768
Atriplex,23,0.6099177936886768
Calytrix,23,0.6099177936886768
Deyeuxia,23,0.6099177936886768
Indigofera,23,0.6099177936886768
Lindernia,23,0.6099177936886768
Micromyrtus,23,0.6099177936886768
Swainsona,23,0.6099177936886768
Thryptomene,23,0.6099177936886768
Sclerolaena,22,0.5833996287456908
Plectranthus,21,0.5568814638027049
Hemigenia,20,0.5303632988597189
Ptilotus,20,0.5303632988597189
Eragrostis,19,0.503845133916733
Eriachne,19,0.503845133916733
Eriocaulon,19,0.503845133916733
Eucalyptus,19,0.503845133916733
Hibiscus,19,0.503845133916733
Olearia,19,0.503845133916733
Austrostipa,18,0.47732696897374705
Bossiaea,18,0.47732696897374705
Cryptandra,18,0.47732696897374705
Persoonia,18,0.47732696897374705
Brachyscome,16,0.42429063908777515
Digitaria,16,0.42429063908777515
Frankenia,16,0.42429063908777515
Lachnagrostis,16,0.42429063908777515
Lepidium,16,0.42429063908777515
Anisomeles,15,0.3977724741447892
Caladenia,15,0.3977724741447892
Gonocarpus,15,0.3977724741447892
Lepyrodia,15,0.3977724741447892
Utricularia,15,0.3977724741447892
Prasophyllum,14,0.37125430920180325
Prostanthera,14,0.37125430920180325
Stenanthemum,14,0.37125430920180325
Tephrosia,14,0.37125430920180325
Trachymene,14,0.37125430920180325
Beyeria,13,0.3447361442588173
Calandrinia,13,0.3447361442588173
Carex,13,0.3447361442588173
Cassinia,13,0.3447361442588173
Desmocladus,13,0.3447361442588173
Angianthus,12,0.31821797931583135
Croton,12,0.31821797931583135
Eleocharis,12,0.31821797931583135
Gomphrena,12,0.31821797931583135
Hydrocotyle,12,0.31821797931583135
Jacksonia,12,0.31821797931583135
Myriophyllum,12,0.31821797931583135
Rhodanthe,12,0.31821797931583135
Corchorus,11,0.2916998143728454
Cryptocarya,11,0.2916998143728454
Haemodorum,11,0.2916998143728454
Kunzea,11,0.2916998143728454
Lasiopetalum,11,0.2916998143728454
Phyllanthus,11,0.2916998143728454
Pimelea,11,0.2916998143728454
Ricinocarpos,11,0.2916998143728454
Sauropus,11,0.2916998143728454
Scaevola,11,0.2916998143728454
Scleria,11,0.2916998143728454
Tecticornia,11,0.2916998143728454
Androcalva,10,0.26518164942985945
Dicrastylis,10,0.26518164942985945
Gastrolobium,10,0.26518164942985945
Glycine,10,0.26518164942985945
Ipomoea,10,0.26518164942985945
Marsdenia,10,0.26518164942985945
Micraira,10,0.26518164942985945
Rhynchospora,10,0.26518164942985945
Thysanotus,10,0.26518164942985945
Astartea,9,0.23866348448687352
Bertya,9,0.23866348448687352
Dodonaea,9,0.23866348448687352
Drosera,9,0.23866348448687352
Gossypium,9,0.23866348448687352
Haloragis,9,0.23866348448687352
Pultenaea,9,0.23866348448687352
Rinzia,9,0.23866348448687352
Teucrium,9,0.23866348448687352
Thelymitra,9,0.23866348448687352
Blumea,8,0.21214531954388757
Comesperma,8,0.21214531954388757
Crinum,8,0.21214531954388757
Isoetes,8,0.21214531954388757
Logania,8,0.21214531954388757
Lomandra,8,0.21214531954388757
Maireana,8,0.21214531954388757
Malleostemon,8,0.21214531954388757
Ozothamnus,8,0.21214531954388757
Pluchea,8,0.21214531954388757
Poa,8,0.21214531954388757
Roepera,8,0.21214531954388757
Spyridium,8,0.21214531954388757
Tetratheca,8,0.21214531954388757
Allocasuarina,7,0.18562715460090162
Arivela,7,0.18562715460090162
Bonamia,7,0.18562715460090162
Callistemon,7,0.18562715460090162
Centrolepis,7,0.18562715460090162
Conostylis,7,0.18562715460090162
Dampiera,7,0.18562715460090162
Hysterobaeckea,7,0.18562715460090162
Millotia,7,0.18562715460090162
Myrsine,7,0.18562715460090162
Oldenlandia,7,0.18562715460090162
Pavetta,7,0.18562715460090162
Pecteilis,7,0.18562715460090162
Philotheca,7,0.18562715460090162
Pomaderris,7,0.18562715460090162
Psydrax,7,0.18562715460090162
Roebuckiella,7,0.18562715460090162
Sorghum,7,0.18562715460090162
Sporobolus,7,0.18562715460090162
Synostemon,7,0.18562715460090162
Urochloa,7,0.18562715460090162
Zieria,7,0.18562715460090162
Althenia,6,0.15910898965791567
Babingtonia,6,0.15910898965791567
Brachyloma,6,0.15910898965791567
Calothamnus,6,0.15910898965791567
Calotis,6,0.15910898965791567
Chordifex,6,0.15910898965791567
Daviesia,6,0.15910898965791567
Diuris,6,0.15910898965791567
Eutaxia,6,0.15910898965791567
Gompholobium,6,0.15910898965791567
Hypocalymma,6,0.15910898965791567
Juncus,6,0.15910898965791567
Machaerina,6,0.15910898965791567
Minuria,6,0.15910898965791567
Najas,6,0.15910898965791567
Nymphaea,6,0.15910898965791567
Plagiocarpus,6,0.15910898965791567
Pterocaulon,6,0.15910898965791567
Rytidosperma,6,0.15910898965791567
Taeniophyllum,6,0.15910898965791567
Wurmbea,6,0.15910898965791567
Xyris,6,0.15910898965791567
Abutilon,5,0.13259082471492972
Acrotriche,5,0.13259082471492972
Actinoschoenus,5,0.13259082471492972
Agrostis,5,0.13259082471492972
Amyema,5,0.13259082471492972
Andersonia,5,0.13259082471492972
Aponogeton,5,0.13259082471492972
Asperula,5,0.13259082471492972
Baeckea,5,0.13259082471492972
Calochilus,5,0.13259082471492972
Chamaecrista,5,0.13259082471492972
Corunastylis,5,0.13259082471492972
Ectrosia,5,0.13259082471492972
Enekbatus,5,0.13259082471492972
Galium,5,0.13259082471492972
Gnephosis,5,0.13259082471492972
Guichenotia,5,0.13259082471492972
Gyrostemon,5,0.13259082471492972
Homalocalyx,5,0.13259082471492972
Hymenophyllum,5,0.13259082471492972
Iseilema,5,0.13259082471492972
Leptocarpus,5,0.13259082471492972
Leptomeria,5,0.13259082471492972
Microcorys,5,0.13259082471492972
Myriocephalus,5,0.13259082471492972
Panicum,5,0.13259082471492972
Paspalidium,5,0.13259082471492972
Pentalepis,5,0.13259082471492972
Polycarpaea,5,0.13259082471492972
Schizachyrium,5,0.13259082471492972
Senna,5,0.13259082471492972
Sida,5,0.13259082471492972
Thomasia,5,0.13259082471492972
Whiteochloa,5,0.13259082471492972
Yakirra,5,0.13259082471492972
Zornia,5,0.13259082471492972
Aglaia,4,0.10607265977194379
Ammannia,4,0.10607265977194379
Amphibromus,4,0.10607265977194379
Apatophyllum,4,0.10607265977194379
Aphyllodium,4,0.10607265977194379
Astroloma,4,0.10607265977194379
Bergia,4,0.10607265977194379
Blechnum,4,0.10607265977194379
Borya,4,0.10607265977194379
Cajanus,4,0.10607265977194379
Calectasia,4,0.10607265977194379
Calocephalus,4,0.10607265977194379
Chthonocephalus,4,0.10607265977194379
Conostephium,4,0.10607265977194379
Cullen,4,0.10607265977194379
Darwinia,4,0.10607265977194379
Dendrobium,4,0.10607265977194379
Dicliptera,4,0.10607265977194379
Echinochloa,4,0.10607265977194379
Endiandra,4,0.10607265977194379
Gahnia,4,0.10607265977194379
Gardenia,4,0.10607265977194379
Grona,4,0.10607265977194379
Gunniopsis,4,0.10607265977194379
Ischaemum,4,0.10607265977194379
Isolepis,4,0.10607265977194379
Leionema,4,0.10607265977194379
Lobelia,4,0.10607265977194379
Mirbelia,4,0.10607265977194379
Nicotiana,4,0.10607265977194379
Olax,4,0.10607265977194379
Opercularia,4,0.10607265977194379
Orianthera,4,0.10607265977194379
Phebalium,4,0.10607265977194379
Picris,4,0.10607265977194379
Pityrodia,4,0.10607265977194379
Plantago,4,0.10607265977194379
Podolepis,4,0.10607265977194379
Poranthera,4,0.10607265977194379
Posidonia,4,0.10607265977194379
Puccinellia,4,0.10607265977194379
Setaria,4,0.10607265977194379
Stackhousia,4,0.10607265977194379
Styphelia,4,0.10607265977194379
Synaphea,4,0.10607265977194379
Triglochin,4,0.10607265977194379
Trithuria,4,0.10607265977194379
Trymalium,4,0.10607265977194379
Vallisneria,4,0.10607265977194379
Vittadinia,4,0.10607265977194379
Westringia,4,0.10607265977194379
Acanthocarpus,3,0.07955449482895784
Aluta,3,0.07955449482895784
Apowollastonia,3,0.07955449482895784
Arabidella,3,0.07955449482895784
Arthragrostis,3,0.07955449482895784
Arthrochilus,3,0.07955449482895784
Asplenium,3,0.07955449482895784
Asteridea,3,0.07955449482895784
Astrotricha,3,0.07955449482895784
Astus,3,0.07955449482895784
Atalaya,3,0.07955449482895784
Beaufortia,3,0.07955449482895784
Blainvillea,3,0.07955449482895784
Brachychiton,3,0.07955449482895784
Cassytha,3,0.07955449482895784
Cheilanthes,3,0.07955449482895784
Chenopodium,3,0.07955449482895784
Commelina,3,0.07955449482895784
Commersonia,3,0.07955449482895784
Convolvulus,3,0.07955449482895784
Coprosma,3,0.07955449482895784
Crotalaria,3,0.07955449482895784
Cynanchum,3,0.07955449482895784
Cyrtococcum,3,0.07955449482895784
Dentella,3,0.07955449482895784
Dichelachne,3,0.07955449482895784
Drummondita,3,0.07955449482895784
Embadium,3,0.07955449482895784
Eriochlamys,3,0.07955449482895784
Eulalia,3,0.07955449482895784
Euryomyrtus,3,0.07955449482895784
Ficus,3,0.07955449482895784
Geranium,3,0.07955449482895784
Glochidion,3,0.07955449482895784
Gmelina,3,0.07955449482895784
Grewia,3,0.07955449482895784
Homoranthus,3,0.07955449482895784
Hypolaena,3,0.07955449482895784
Labichea,3,0.07955449482895784
Lastreopsis,3,0.07955449482895784
Latrobea,3,0.07955449482895784
Lawrencia,3,0.07955449482895784
Lechenaultia,3,0.07955449482895784
Lepidobolus,3,0.07955449482895784
Leptospermum,3,0.07955449482895784
