species,APC_name,family
Isoetes brevicula E.R.L.Johnson,Isoetes brevicula,Isoetaceae
Isoetes inflata E.R.L.Johnson,Isoetes inflata,Isoetaceae
Isoetes mongerensis E.R.L.Johnson,Isoetes mongerensis,Isoetaceae
Isoetes tripus A.Braun,Isoetes tripus,Isoetaceae
Actinotus repens Keighery ex Henwood,Actinotus repens,Apiaceae
Platysace maxwellii (F.Muell.) C.Norman,Platysace maxwellii,Apiaceae
Xanthosia collina Keighery,Xanthosia collina,Apiaceae
Xanthosia eichleri J.M.Hart & Henwood,Xanthosia eichleri,Apiaceae
Xanthosia peduncularis Benth.,Xanthosia peduncularis,Apiaceae
Hydrocotyle decorata A.J.Perkins,Hydrocotyle decorata,Araliaceae
Hydrocotyle eichleri A.J.Perkins,Hydrocotyle eichleri,Araliaceae
Hydrocotyle muriculata Turcz.,Hydrocotyle muriculata,Araliaceae
Hydrocotyle perforata A.J.Perkins,Hydrocotyle perforata,Araliaceae
Hydrocotyle plebeya R.Br. ex A.Rich.,Hydrocotyle plebeya,Araliaceae
Hydrocotyle serendipita A.J.Perkins,Hydrocotyle serendipita,Araliaceae
Hydrocotyle tuberculata A.J.Perkins,Hydrocotyle tuberculata,Araliaceae
Trachymene croniniana (F.Muell.) T.Durand & B.D.Jacks.,Trachymene croniniana,Araliaceae
Trachymene dendrothrix Maconochie,Trachymene dendrothrix,Araliaceae
Trachymene dusenii (Domin) F.M.Bailey,Trachymene dusenii,Araliaceae
Trachymene elachocarpa (F.Muell.) B.L.Burtt,Trachymene elachocarpa,Araliaceae
Trachymene pyrophila Rye,Trachymene pyrophila,Araliaceae
Trachymene villosa (F.Muell.) Benth.,Trachymene villosa,Araliaceae
"Auranticarpa resinosa (Domin) L.Cayzer, Crisp & I.Telford",Auranticarpa resinosa,Pittosporaceae
Marianthus aquilonaris N.Gibson & Wege,Marianthus aquilonaris,Pittosporaceae
Marianthus dryandra L.Cayzer & Crisp,Marianthus dryandra,Pittosporaceae
Marianthus microphyllus (Turcz.) Benth.,Marianthus microphyllus,Pittosporaceae
Anemocarpa calcicola Paul G.Wilson,Anemocarpa calcicola,Asteraceae
