nameType,acceptedNameUsage,taxonomicStatus,scientificName,canonicalName,taxonRank
scientific,Cycas angulata R.Br.,accepted,Cycas angulata R.Br.,Cycas angulata,Species
scientific,Cycas arenicola K.D.Hill,accepted,Cycas arenicola K.D.Hill,Cycas arenicola,Species
scientific,Cycas armstrongii Miq.,accepted,Cycas armstrongii Miq.,Cycas armstrongii,Species
scientific,Cycas arnhemica K.D.Hill,accepted,Cycas arnhemica K.D.Hill,Cycas arnhemica,Species
scientific,Cycas badensis K.D.Hill,accepted,Cycas badensis K.D.Hill,Cycas badensis,Species
scientific,Cycas basaltica C.A.Gardner,accepted,Cycas basaltica C.A.Gardner,Cycas basaltica,Species
scientific,Cycas brunnea K.D.Hill,accepted,Cycas brunnea K.D.Hill,Cycas brunnea,Species
scientific,Cycas cairnsiana F.Muell.,accepted,Cycas cairnsiana F.Muell.,Cycas cairnsiana,Species
scientific,Cycas calcicola Maconochie,accepted,Cycas calcicola Maconochie,Cycas calcicola,Species
scientific,Cycas canalis K.D.Hill,accepted,Cycas canalis K.D.Hill,Cycas canalis,Species
scientific,Cycas candida K.D.Hill,accepted,Cycas candida K.D.Hill,Cycas candida,Species
scientific,Cycas conferta Chirgwin,accepted,Cycas conferta Chirgwin,Cycas conferta,Species
scientific,Cycas couttsiana K.D.Hill,accepted,Cycas couttsiana K.D.Hill,Cycas couttsiana,Species
scientific,Cycas cupida P.I.Forst.,accepted,Cycas cupida P.I.Forst.,Cycas cupida,Species
scientific,Cycas desolata P.I.Forst.,accepted,Cycas desolata P.I.Forst.,Cycas desolata,Species
scientific,Cycas distans P.I.Forst. & B.Gray,accepted,Cycas distans P.I.Forst. & B.Gray,Cycas distans,Species
scientific,Cycas furfuracea W.Fitzg.,accepted,Cycas furfuracea W.Fitzg.,Cycas furfuracea,Species
scientific,Cycas lane-poolei C.A.Gardner,accepted,Cycas lane-poolei C.A.Gardner,Cycas lane-poolei,Species
scientific,Cycas maconochiei Chirgwin & K.D.Hill,accepted,Cycas maconochiei Chirgwin & K.D.Hill,Cycas maconochiei,Species
autonym,Cycas maconochiei Chirgwin & K.D.Hill subsp. maconochiei,accepted,Cycas maconochiei Chirgwin & K.D.Hill subsp. maconochiei,Cycas maconochiei subsp. maconochiei,Subspecies
scientific,Cycas maconochiei subsp. viridis K.D.Hill,accepted,Cycas maconochiei subsp. viridis K.D.Hill,Cycas maconochiei subsp. viridis,Subspecies
scientific,Cycas media R.Br.,accepted,Cycas media R.Br.,Cycas media,Species
scientific,Cycas media subsp. banksii K.D.Hill,accepted,Cycas media subsp. banksii K.D.Hill,Cycas media subsp. banksii,Subspecies
scientific,Cycas media subsp. ensata K.D.Hill,accepted,Cycas media subsp. ensata K.D.Hill,Cycas media subsp. ensata,Subspecies
autonym,Cycas media R.Br. subsp. media,accepted,Cycas media R.Br. subsp. media,Cycas media subsp. media,Subspecies
scientific,Cycas megacarpa K.D.Hill,accepted,Cycas megacarpa K.D.Hill,Cycas megacarpa,Species
scientific,Cycas ophiolitica K.D.Hill,accepted,Cycas ophiolitica K.D.Hill,Cycas ophiolitica,Species
scientific,Cycas orientis K.D.Hill,accepted,Cycas orientis K.D.Hill,Cycas orientis,Species
scientific,Cycas platyphylla K.D.Hill,accepted,Cycas platyphylla K.D.Hill,Cycas platyphylla,Species
scientific,Cycas pruinosa Maconochie,accepted,Cycas pruinosa Maconochie,Cycas pruinosa,Species
scientific,Cycas rumphii Miq.,accepted,Cycas rumphii Miq.,Cycas rumphii,Species
scientific,Cycas scratchleyana F.Muell.,accepted,Cycas scratchleyana F.Muell.,Cycas scratchleyana,Species
scientific,Cycas semota K.D.Hill,accepted,Cycas semota K.D.Hill,Cycas semota,Species
scientific,Cycas silvestris K.D.Hill,accepted,Cycas silvestris K.D.Hill,Cycas silvestris,Species
scientific,Cycas terryana P.I.Forst.,accepted,Cycas terryana P.I.Forst.,Cycas terryana,Species
scientific,Cycas tuckeri K.D.Hill,accepted,Cycas tuckeri K.D.Hill,Cycas tuckeri,Species
scientific,Cycas xipholepis K.D.Hill,accepted,Cycas xipholepis K.D.Hill,Cycas xipholepis,Species
scientific,Cycas yorkiana K.D.Hill,accepted,Cycas yorkiana K.D.Hill,Cycas yorkiana,Species
scientific,Bowenia serrulata (W.Bull) Chamb.,accepted,Bowenia serrulata (W.Bull) Chamb.,Bowenia serrulata,Species
scientific,Bowenia spectabilis Hook. ex Hook.f.,accepted,Bowenia spectabilis Hook. ex Hook.f.,Bowenia spectabilis,Species
scientific,Lepidozamia hopei (W.Hill) Regel,accepted,Lepidozamia hopei (W.Hill) Regel,Lepidozamia hopei,Species
scientific,Lepidozamia peroffskyana Regel,accepted,Lepidozamia peroffskyana Regel,Lepidozamia peroffskyana,Species
scientific,Macrozamia cardiacensis P.I.Forst. & D.L.Jones,accepted,Macrozamia cardiacensis P.I.Forst. & D.L.Jones,Macrozamia cardiacensis,Species
scientific,Macrozamia communis L.A.S.Johnson,accepted,Macrozamia communis L.A.S.Johnson,Macrozamia communis,Species
scientific,Macrozamia concinna D.L.Jones,accepted,Macrozamia concinna D.L.Jones,Macrozamia concinna,Species
scientific,Macrozamia conferta D.L.Jones & P.I.Forst.,accepted,Macrozamia conferta D.L.Jones & P.I.Forst.,Macrozamia conferta,Species
scientific,Macrozamia cranei D.L.Jones & P.I.Forst.,accepted,Macrozamia cranei D.L.Jones & P.I.Forst.,Macrozamia cranei,Species
scientific,Macrozamia crassifolia P.I.Forst. & D.L.Jones,accepted,Macrozamia crassifolia P.I.Forst. & D.L.Jones,Macrozamia crassifolia,Species
scientific,Macrozamia diplomera (F.Muell.) L.A.S.Johnson,accepted,Macrozamia diplomera (F.Muell.) L.A.S.Johnson,Macrozamia diplomera,Species
scientific,Macrozamia douglasii W.Hill ex F.M.Bailey,accepted,Macrozamia douglasii W.Hill ex F.M.Bailey,Macrozamia douglasii,Species
scientific,Macrozamia dyeri (F.Muell.) C.A.Gardner,accepted,Macrozamia dyeri (F.Muell.) C.A.Gardner,Macrozamia dyeri,Species
scientific,Macrozamia elegans K.D.Hill & D.L.Jones,accepted,Macrozamia elegans K.D.Hill & D.L.Jones,Macrozamia elegans,Species
scientific,Macrozamia fawcettii C.Moore,accepted,Macrozamia fawcettii C.Moore,Macrozamia fawcettii,Species
scientific,Macrozamia fearnsidei D.L.Jones,accepted,Macrozamia fearnsidei D.L.Jones,Macrozamia fearnsidei,Species
hybrid formula parents known,Macrozamia fearnsidei D.L.Jones x Macrozamia moorei F.Muell.,accepted,Macrozamia fearnsidei D.L.Jones x Macrozamia moorei F.Muell.,Macrozamia fearnsidei x Macrozamia moorei,Species
scientific,Macrozamia flexuosa C.Moore,accepted,Macrozamia flexuosa C.Moore,Macrozamia flexuosa,Species
