species,photo,Match
Abrodictyum brassii,yes,Yes
Actinostachys wagneri,no,Yes
Antrophyum jagoanum,no,Yes
Antrophyum plantagineum,yes,Yes
Antrophyum subfalcatum,yes,Yes
Asplenium athertonense,yes,Yes
Asplenium baileyanum,yes,Yes
Asplenium capitisyork,yes,Yes
Asplenium cuneatum,yes,Yes
Asplenium normale,no,Yes
Asplenium pellucidum,yes,Yes
Bolbitis taylorii,yes,Yes
Calciphilopteris ludens,no,Yes
Calochlaena villosa,yes,Yes
Calymmodon luerssenianus,no,Yes
Cheilanthes nitida,yes,Yes
Cheilanthes praetermissa,no,Yes
Cheilanthes prenticei,yes,Yes
Chingia australis,yes,Yes
Crepidomanes aphlebioides,yes,Yes
Crepidomanes barnardianum,yes,Yes
Crepidomanes humile,no,Yes
Crepidomanes kurzii,yes,Yes
Crepidomanes majoriae,no,Yes
Crepidomanes walleri,yes,Yes
Ctenopterella blechnoides,no,Yes
Ctenopterella gordonii,yes,Yes
Didymoglossum bimarginatum,yes,Yes
Didymoglossum mindorense,no,Yes
Didymoglossum motleyi,no,Yes
Diplazium assimile,yes,Yes
Diplazium bostockii,no,Yes
Diplazium cordifolium,yes,Yes
Diplazium dameriae,yes,Yes
Diplazium pallidum,yes,Yes
Diplazium squamuligerum,yes,Yes
Dryopteris hasseltii,yes,Yes
Dryopteris sparsa,yes,Yes
Elaphoglossum callifolium,yes,Yes
Goniophlebium subauriculatum,yes,Yes
Hymenasplenium unilaterale,yes,Yes
Hymenophyllum digitatum,no,Yes
Hymenophyllum eboracense,yes,Yes
Hymenophyllum gracilescens,no,Yes
Hymenophyllum javanicum,yes,Yes
Hymenophyllum kerianum,no,Yes
Hymenophyllum pallidum,yes,Yes
Hymenophyllum polyanthos,yes,Yes
Hymenophyllum samoense,yes,Yes
Hymenophyllum walleri,yes,Yes
Hypolepis tenuifolia,yes,Yes
Isoetes coromandelina,no,Yes
Isoetes cristata,no,Yes
Lastreopsis walleri,yes,Yes
Lastreopsis wurunuran,yes,Yes
Lindsaea orbiculata,no,Yes
Lindsaea terrae-reginae,yes,Yes
Lindsaea walkerae,yes,Yes
Lomariopsis kingii,yes,Yes
Macrothelypteris polypodioides,yes,Yes
Microsorum australiense,yes,Yes
Microsorum membranifolium,yes,Yes
Ophioglossum costatum,no,Yes
Oreogrammitis albosetosa,yes,Yes
Oreogrammitis leonardii,no,Yes
Oreogrammitis queenslandica,yes,Yes
Oreogrammitis reinwardtii,no,Yes
Phlegmariurus carinatus,yes,Yes
Phlegmariurus creber,yes,Yes
Phlegmariurus delbrueckii,yes,Yes
Phlegmariurus lockyeri,yes,Yes
Plesioneuron tuberculatum,yes,Yes
Pneumatopteris costata,yes,Yes
Polyphlebium endlicherianum,yes,Yes
Prosaptia contigua,yes,Yes
Prosaptia fuscopilosa,yes,Yes
Prosaptia maidenii,yes,Yes
Pteris orientalis,no,Yes
Selaginella longiciliata,no,Yes
Sphaerostephanos heterocarpus,yes,Yes
Sphaerostephanos unitus,yes,Yes
Sticherus milnei,yes,Yes
Tectaria brachiata,yes,Yes
Tectaria siifolia,yes,Yes
Teratophyllum brightiae,yes,Yes
