canonicalName,photo
Cycas distans,no
Cycas scratchleyana,no
Macrozamia elegans,no
Isoetes attenuata,no
Isoetes australis,yes
Isoetes brevicula,no
Isoetes coromandelina,yes
Isoetes cristata,no
Isoetes elatior,no
Isoetes humilior,no
Isoetes inflata,no
Isoetes mongerensis,no
Isoetes tripus,no
Lycopodiella limosa,no
Phlegmariurus filiformis,no
Selaginella alutacia,no
Selaginella longiciliata,no
Actinotus periculosus,yes
Actinotus repens,no
Azorella selago,no
Centella uniflora,no
Eryngium fontanum,no
Oreomyrrhis gunnii,no
Platysace cirrosa,yes
Platysace maxwellii,no
Platysace ramosissima,yes
Xanthosia collina,no
Xanthosia eichleri,no
Xanthosia peduncularis,no
Astrotricha brachyandra,no
Astrotricha obovata,no
Astrotricha pauciflora,no
Hydrocotyle comocarpa,no
Hydrocotyle crassiuscula,no
Hydrocotyle decorata,no
Hydrocotyle digitata,no
Hydrocotyle dipleura,no
Hydrocotyle eichleri,no
Hydrocotyle muriculata,no
Hydrocotyle oraria,no
Hydrocotyle perforata,no
Hydrocotyle plebeya,no
Hydrocotyle serendipita,no
Hydrocotyle tuberculata,no
Motherwellia haplosciadea,yes
Polyscias scutellaria,no
Trachymene clivicola,no
Trachymene croniniana,no
Trachymene cussonii,no
Trachymene dendrothrix,no
Trachymene dusenii,no
Trachymene elachocarpa,no
Trachymene glandulosa,no
Trachymene inflata,no
Trachymene longipedunculata,no
Trachymene montana,no
Trachymene pyrophila,no
Trachymene scapigera,no
Trachymene umbratica,no
Trachymene villosa,no
Auranticarpa resinosa,no
Billardiera viridiflora,no
Cheiranthera volubilis,no
Marianthus aquilonaris,no
Marianthus dryandra,no
Marianthus microphyllus,no
Pittosporum erioloma,yes
Sphenostemon lobosporus,yes
Argophyllum iridescens,no
Argophyllum palumense,no
Corokia carpodetoides,no
Achnophora tatei,no
Acomis bella,no
Acomis macra,yes
Acunniana procumbens,no
Anemocarpa calcicola,no
Angianthus conocephalus,no
Angianthus cornutus,no
Angianthus drummondii,no
Angianthus glabratus,no
Angianthus halophilus,no
Angianthus microcephalus,no
Angianthus newbeyi,no
Angianthus phyllocalymmeus,no
Angianthus platycephalus,no
Angianthus prostratus,no
Angianthus pygmaeus,no
Angianthus uniflorus,no
Apowollastonia hamersleyensis,no
Apowollastonia hibernica,no
Apowollastonia verbesinoides,no
Asteridea archeri,no
Asteridea croniniana,no
Asteridea morawana,no
Athroisma laciniatum,no
Balladonia aervoides,no
Basedowia tenerrima,no
Blainvillea acmella,no
Blainvillea calcicola,no
Blainvillea cunninghamii,no
Blennospora doliiformis,no
Blennospora phlegmatocarpa,yes
Blumea balsamifera,no
Blumea benthamiana,no
Blumea lacera,yes
Blumea lanceolaria,no
Blumea milnei,no
Blumea psammophila,no
Blumea pungens,no
Blumea riparia,no
Blumea sinuata,no
Brachyscome abercrombiensis,no
Brachyscome billabongensis,no
Brachyscome breviscapis,no
Brachyscome brownii,no
Brachyscome campylocarpa,no
Brachyscome casstiana,no
Brachyscome dissectifolia,yes
Brachyscome eriogona,yes
Brachyscome eyrensis,no
Brachyscome georginensis,no
Brachyscome glandulosa,no
Brachyscome muelleri,no
Brachyscome radicata,no
Brachyscome rudallensis,no
Brachyscome simulans,no
Brachyscome tamworthensis,no
Brachyscome watanabei,no
Brachyscome xanthocarpa,no
Calocephalus badmanii,no
Calocephalus birchii,no
Calocephalus glabratus,no
Calocephalus pilbarensis,no
Calotis breviradiata,no
Calotis glabrescens,no
Calotis inermis,no
Calotis moorei,no
Calotis suffruticosa,no
Calotis xanthosioidea,no
Cassinia accipitrum,no
Cassinia cinerea,no
Cassinia collina,no
Cassinia furtiva,no
Cassinia heleniae,no
Cassinia nivalis,no
Cassinia petrapendula,no
Cassinia storyi,no
Cassinia tegulata,no
Cassinia tenuis,no
Cassinia theodorii,no
Cassinia theresae,no
Cassinia wyberbensis,no
Cephalosorus carpesioides,no
Chondropyxis halophila,no
Chthonocephalus multiceps,no
Chthonocephalus oldfieldianus,no
Chthonocephalus spathulatus,no
Chthonocephalus tomentellus,no
Coronidium cymosum,no
Coronidium densifolium,no
Coronidium flavum,yes
Cratystylis subspinescens,no
Cyanthillium gracile,no
Cyanthillium patulum,no
Cymbonotus maidenii,no
Decaneuropsis obovata,no
Dimorphocoma minutula,no
Diodontium filifolium,no
Dithyrostegia gracilis,no
Eclipta alatocarpa,no
Erigeron conyzoides,no
Eriochlamys cupularis,no
Eriochlamys eremaea,no
Eriochlamys squamata,no
Erodiophyllum acanthocephalum,no
Erymophyllum glossanthus,no
Erymophyllum hemisphaericum,no
Eschenbachia aegyptiaca,no
Ethuliopsis cunninghamii,no
Euchiton lateralis,no
Feldstonia nitens,no
Glossocardia orthochaeta,no
Glossocardia refracta,yes
Gnephosis gynotricha,no
Gnephosis macrocephala,no
Gnephosis multiflora,no
Gnephosis newbeyi,no
Gnephosis uniflora,no
Gratwickia monochaeta,no
Haeckeria cassiniiformis,no
Haegiela tatei,no
Haptotrichion conicum,no
Helichrysum oligochaetum,no
