Accepted.binomial,Accepted.sub1,Accepted.sub2,Accepted.Rank,Family,Extinction.Risk,Locality,Climate,Life.form.orig,Life.form.edited,List,Synonym.binomial,Source.Extinct,Source.Rediscovered.or.Synonymised
Abutilon_ranadei,na,na,species,Malvaceae,CR,IND,T,Phanerophyte,WP,Rediscovered,Abutilon_ranadei,http://www.kew.org/science-conservation/plants-fungi/abutilon-ranadei-ghanti-mudra,https://www.flowersofindia.net/catalog/slides/Son%20Ghanta.html
Acacia_forrestiana,na,na,species,Fabaceae,VU,WAU,DT,Phanerophyte,WP,Rediscovered,Acacia_forrestiana,"Hnatiuk, R.J. (1990). Census of Australian vascular plants. Australian Flora and Fauna Series 11: 1-650.",https://bie.ala.org.au/species/http://id.biodiversity.org.au/node/apni/2914285
Acacia_kingiana,na,na,species,Fabaceae,EX,WAU,DT,Phanerophyte,WP,Extinct,Acacia_kingiana,"Hnatiuk, R.J. (1990). Census of Australian vascular plants. Australian Flora and Fauna Series 11: 1-650.",
Acacia_linearifolia,na,na,species,,,,,,,Synonym,Acacia_murrumboensis,"Briggs, J. & Leigh, J. (1988). Rare or threatened Australian plants , rev. ed.: 1-277.","POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Acacia_prismifolia,na,na,species,Fabaceae,EX,WAU,S,Phanerophyte,WP,Extinct,Acacia_prismifolia,"Hnatiuk, R.J. (1990). Census of Australian vascular plants. Australian Flora and Fauna Series 11: 1-650.",
Acacia_vassalii,na,na,species,Fabaceae,VU,WAU,S,Chamaephyte,WP,Rediscovered,Acacia_vassalii,"Hnatiuk, R.J. (1990). Census of Australian vascular plants. Australian Flora and Fauna Series 11: 1-650.",https://bie.ala.org.au/species/http://id.biodiversity.org.au/node/apni/2920529
Acacia_volubilis,na,na,species,Fabaceae,CR,WAU,A,Cham._or_nanophan.,WP,Rediscovered,Acacia_volubilis,"Hnatiuk, R.J. (1990). Census of Australian vascular plants. Australian Flora and Fauna Series 11: 1-650.",https://florabase.dpaw.wa.gov.au/browse/profile/3597
Acaena_exigua,na,na,species,Rosaceae,EW,HAW,TA,hemicr.,HP,Extinct,Acaena_exigua,"IUCN (2016). The IUCN Red List of Threatened Species, Version 3.1 [Accessed June, 2016]",
Acalypha_subbullata,na,na,species,Euphorbiaceae,CR,PER,T,Nanophan.,WP,Rediscovered,Acalypha_subbullata,"WCSP (2003). World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/",Herbarium MO
Acalypha_wilderi,na,na,species,Euphorbiaceae,EX,COO,WT,Nanophan._or_phan.,WP,Extinct,Acalypha_wilderi,"IUCN (2016). The IUCN Red List of Threatened Species, Version 3.1 [Accessed June, 2016]",
Acanthocladium_dockeri,na,na,species,Asteraceae,CR,"NSW,SOA",DT,Phanerophyte,WP,Rediscovered,Acanthocladium_dockeri,"Hnatiuk, R.J. (1990). Census of Australian vascular plants. Australian Flora and Fauna Series 11: 1-650.",http://saseedbank.com.au/species_information.php?rid=42
Achyranthes_mangarevica,na,na,species,Amaranthaceae,EX,TUA,WT,Nanophan.,WP,Extinct,Achyranthes_mangarevica,"W.C.M.C. (1996). Threatened plant database of the World Conservation Monitoring Centre. W.C.M.C., Cambridge, U.K.",
Achyranthes_mutica,na,na,species,Amaranthaceae,CR,HAW,WT,Cham.,WP,Rediscovered,Achyranthes_mutica,"Wagner, W., Herbst, D. & Sohmer, S. (1990). Manual of the Flowering Plants of Hawai'I 1-2: 1-1853. University of Hawaii Press.",http://www.iucnredlist.org/details/44075/0
Achyranthes_mutica,na,na,species,,,,,,,Synonym,Achyranthes_nelsonii,"Wagner, W., Herbst, D. & Sohmer, S. (1990). Manual of the Flowering Plants of Hawai'I 1-2: 1-1853. University of Hawaii Press.","POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Achyranthes_splendens,var,atollensis,var,,,,,,,Synonym,Achyranthes_atollensis,,"POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Acianthus_ledwardii,na,na,species,Orchidaceae,CR,"NSW,QLD",S,Tuber_geophyte,HP,Rediscovered,Acianthus_ledwardii,"Hnatiuk, R.J. (1990). Census of Australian vascular plants. Australian Flora and Fauna Series 11: 1-650.","Kores, P.J. in Holttum, R.E. (1995), A systematic study of the genus Acianthus (Orchidaceae: Diurideae). Allertonia 7(3): 199"
Acmadenia_baileyensis,na,na,species,Rutaceae,EW,CPP,S,Cham.,WP,Extinct,Acmadenia_baileyensis,"Hilton-Taylor, C. (ed.) (1996). Red data list of Southern African plants: 1-117. National Botanical Institute, Pretoria.",
Acmadenia_candida,na,na,species,Rutaceae,EX,CPP,S,Cham.,WP,Extinct,Acmadenia_candida,"W.C.M.C. (1996). Threatened plant database of the World Conservation Monitoring Centre. W.C.M.C., Cambridge, U.K.",
Acronema_evoluta,na,na,species,Apiaceae,EW,ASS,G,Hemicr.,WP,Extinct,Acronema_evoluta,"Nayar, M.P. & Sastry, A.R.K. (eds.) (1987). Red data book of Indian plants: 1-367. Calcutta.",
Adenia_natalensis,na,na,species,Passifloraceae,EX,NAT,S,Cl._nanophan.,WP,Extinct,Adenia_natalensis,"Hilton-Taylor, C. (ed.) (1996). Red data list of Southern African plants: 1-117. National Botanical Institute, Pretoria.",
Aechmea_serrata,na,na,species,Bromeliaceae,EW,WIN,WT,Hemicr.,WP,Extinct,Aechmea_serrata,"WCSP (2003). World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/",
Aegiphila_caymanensis,na,na,species,Lamiaceae,CR,CAY,WT,Phanerophyte,WP,Rediscovered,Aegiphila_caymanensis,"Proctor, G.R. (1984). Flora of the Cayman islands. 834 pp., Kew.","Burton, F.J. (2008). Threatened plants of the Cayman islands: The red list: 1-105. Royal Botanic Gardens, Kew."
