iNat_name,APC_name
Melaleuca armillaris,Melaleuca armillaris
Calochilus robertsonii,Calochilus robertsonii
Angophora costata,Angophora costata
Grevillea linearifolia,Grevillea linearifolia
Pultenaea stipularis,Pultenaea stipularis
Bossiaea obcordata,Bossiaea obcordata
Grevillea buxifolia,Grevillea buxifolia
Lomandra longifolia,Lomandra longifolia
Eriostemon australasius,Eriostemon australasius
Glossodia major,Glossodia major
Boronia ledifolia,Boronia ledifolia
Thelymitra ixioides,Thelymitra ixioides
Boronia pinnata,Boronia pinnata
Stenocarpus sinuatus,Stenocarpus sinuatus
Phyllota phylicoides,Phyllota phylicoides
Pandorea pandorana,Pandorea pandorana
Grevillea speciosa,Grevillea speciosa
Indigofera australis,Indigofera australis
Acacia fimbriata,Acacia fimbriata
Pterostylis curta,Pterostylis curta
Tetratheca ericifolia,Tetratheca ericifolia
Zieria smithii,Zieria smithii
Rubus rosifolius,Rubus rosifolius
Dendrobium speciosum,Dendrobium speciosum
Bursaria spinosa,Bursaria spinosa
Dendrobium aemulum,Dendrobium aemulum
Asplenium australasicum,Asplenium australasicum
Rhodanthe anthemoides,Rhodanthe anthemoides
Diuris sulphurea,Diuris sulphurea
Lissanthe strigosa,Lissanthe strigosa
Senecio amygdalifolius,Senecio amygdalifolius
Schizaea dichotoma,Schizaea dichotoma
Lindsaea microphylla,Lindsaea microphylla
Archontophoenix cunninghamiana,Archontophoenix cunninghamiana
Homoranthus virgatus,Homoranthus virgatus
Lambertia formosa,Lambertia formosa
Jacksonia stackhousei,Jacksonia stackhousei
Patersonia glabrata,Patersonia glabrata
Banksia aemula,Banksia aemula
Actinotus helianthi,Actinotus helianthi
Leucopogon deformis,Leucopogon deformis
Calytrix tetragona,Calytrix tetragona
Gompholobium latifolium,Gompholobium latifolium
Burchardia umbellata,Burchardia umbellata
Dampiera sylvestris,Dampiera sylvestris
Hibbertia vestita,Hibbertia vestita
Drosera spatulata,Drosera spatulata
Epacris pulchella,Epacris pulchella
Melaleuca nodosa,Melaleuca nodosa
Dodonaea triquetra,Dodonaea triquetra
Leptospermum polygalifolium,Leptospermum polygalifolium
Leucopogon affinis,Leucopogon affinis
Nothofagus cunninghamii,Nothofagus cunninghamii
Swainsona formosa,Swainsona formosa
Trichodesma zeylanicum,Trichodesma zeylanicum
Eucalyptus diversicolor,Eucalyptus diversicolor
Drosera arcturi,Drosera arcturi
Gymnoschoenus sphaerocephalus,Gymnoschoenus sphaerocephalus
Blandfordia punicea,Blandfordia punicea
Carpobrotus rossii,Carpobrotus rossii
Gleichenia alpina,Gleichenia alpina
Oxylobium ellipticum,Oxylobium ellipticum
Agapanthus praecox,Agapanthus praecox
Drosera binata,Drosera binata
Athrotaxis selaginoides,Athrotaxis selaginoides
Melaleuca quinquenervia,Melaleuca quinquenervia
Ficus watkinsiana,Ficus watkinsiana
Anthocercis ilicifolia,Anthocercis ilicifolia
Verticordia nobilis,Verticordia nobilis
Acacia cyclops,Acacia cyclops
Ptilotus exaltatus,Ptilotus exaltatus
Isotoma hypocrateriformis,Isotoma hypocrateriformis
Bossiaea linophylla,Bossiaea linophylla
Xanthosia rotundifolia,Xanthosia rotundifolia
Stylidium armeria,Stylidium armeria
Utricularia monanthos,Utricularia monanthos
Gonocarpus serpyllifolius,Gonocarpus serpyllifolius
Thysanotus tuberosus,Thysanotus tuberosus
Actinotus minor,Actinotus minor
Caustis flexuosa,Caustis flexuosa
Stylidium lineare,Stylidium lineare
Drosera pygmaea,Drosera pygmaea
Utricularia uniflora,Utricularia uniflora
Elaeocarpus grandis,Elaeocarpus grandis
Brachychiton acerifolius,Brachychiton acerifolius
Platycerium superbum,Platycerium superbum
Angiopteris evecta,Angiopteris evecta
Telopea speciosissima,Telopea speciosissima
Siloxerus humifusus,Siloxerus humifusus
Levenhookia pusilla,Levenhookia pusilla
Nuytsia floribunda,Nuytsia floribunda
Melaleuca pulchella,Melaleuca pulchella
Anigozanthos rufus,Anigozanthos rufus
Banksia speciosa,Banksia speciosa
Lechenaultia tubiflora,Lechenaultia tubiflora
Melaleuca striata,Melaleuca striata
Dianella tasmanica,Dianella tasmanica
Utricularia dichotoma,Utricularia dichotoma
Phyllocladus aspleniifolius,Phyllocladus aspleniifolius
Stylidium graminifolium,Stylidium graminifolium
Exocarpos cupressiformis,Exocarpos cupressiformis
Drosera murfetii,Drosera murfetii
Drosera peltata,Drosera peltata
Leptospermum nitidum,Leptospermum nitidum
Allocasuarina zephyrea,Allocasuarina zephyrea
Helichrysum pumilum,Helichrysum pumilum
Eucalyptus coccifera,Eucalyptus coccifera
Gentianella pleurogynoides,Gentianella pleurogynoides
Nothofagus gunnii,Nothofagus gunnii
