scientificName,dataResourceName,basisOfRecord,Match
Achnophora tatei,iNaturalist Australia,HUMAN_OBSERVATION,Yes
Acomis macra,iNaturalist Australia,HUMAN_OBSERVATION,No
Angianthus cunninghamii,iNaturalist Australia,HUMAN_OBSERVATION,No
Angianthus glabratus,iNaturalist Australia,HUMAN_OBSERVATION,Yes
Apowollastonia cylindrica,iNaturalist Australia,HUMAN_OBSERVATION,No
Astrotricha crassifolia,iNaturalist Australia,HUMAN_OBSERVATION,No
Astrotricha roddii,iNaturalist Australia,HUMAN_OBSERVATION,No
Balladonia aervoides,iNaturalist Australia,HUMAN_OBSERVATION,Yes
Blennospora phlegmatocarpa,iNaturalist Australia,HUMAN_OBSERVATION,No
Brachyscome gracilis,iNaturalist Australia,HUMAN_OBSERVATION,No
Brachyscome muelleri,iNaturalist Australia,HUMAN_OBSERVATION,Yes
Brachyscome papillosa,iNaturalist Australia,HUMAN_OBSERVATION,No
Brachyscome smithwhitei,iNaturalist Australia,HUMAN_OBSERVATION,No
Brachyscome tesquorum,iNaturalist Australia,HUMAN_OBSERVATION,No
Brachyscome tetrapterocarpa,iNaturalist Australia,HUMAN_OBSERVATION,No
Brachyscome triloba,iNaturalist Australia,HUMAN_OBSERVATION,No
Bursaria reevesii,iNaturalist Australia,HUMAN_OBSERVATION,No
Calotis glabrescens,iNaturalist Australia,HUMAN_OBSERVATION,Yes
Calotis glandulosa,iNaturalist Australia,HUMAN_OBSERVATION,No
Calotis xanthosioidea,iNaturalist Australia,HUMAN_OBSERVATION,Yes
Cassinia diminuta,iNaturalist Australia,HUMAN_OBSERVATION,No
Cassinia ozothamnoides,iNaturalist Australia,HUMAN_OBSERVATION,No
Celmisia latifolia,iNaturalist Australia,HUMAN_OBSERVATION,No
Chthonocephalus viscosus,iNaturalist Australia,HUMAN_OBSERVATION,No
Coronidium flavum,iNaturalist Australia,HUMAN_OBSERVATION,No
Cratystylis subspinescens,iNaturalist Australia,HUMAN_OBSERVATION,Yes
Cycas semota,iNaturalist Australia,HUMAN_OBSERVATION,No
Cycas terryana,iNaturalist Australia,HUMAN_OBSERVATION,No
Cycas xipholepis,iNaturalist Australia,HUMAN_OBSERVATION,No
Cymbonotus maidenii,iNaturalist Australia,HUMAN_OBSERVATION,Yes
Dampiera carinata,iNaturalist Australia,HUMAN_OBSERVATION,No
Dampiera tephrea,iNaturalist Australia,HUMAN_OBSERVATION,No
Dampiera teres,iNaturalist Australia,HUMAN_OBSERVATION,No
Dampiera tomentosa,iNaturalist Australia,HUMAN_OBSERVATION,No
Dampiera triloba,iNaturalist Australia,HUMAN_OBSERVATION,No
Decazesia hecatocephala,iNaturalist Australia,HUMAN_OBSERVATION,No
Dielitzia tysonii,iNaturalist Australia,HUMAN_OBSERVATION,No
