species,canonicalName,NT,Qld,WA,ChI,NSW,SA,Vic,Tas,ACT,NI,LHI,MI,HI,MDI,CoI,CSI,AR,CaI,Match,Match2,Match3,Match4,Match5,Match6,Match7,Match8,Match9,Match10,Match11
Macrozamia diplomera (F.Muell.) L.A.S.Johnson,Macrozamia diplomera,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No,No,No,No,No,No,No
Macrozamia elegans K.D.Hill & D.L.Jones,Macrozamia elegans,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No,No,No,No,No,No,No
Actinotus paddisonii R.T.Baker,Actinotus paddisonii,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No,No,No,No,No,No,No
Astrotricha obovata Makinson,Astrotricha obovata,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No,No,No,No,No,No,No
Astrotricha roddii Makinson,Astrotricha roddii,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No,No,No,No,No,No,No
Hydrocotyle digitata A.R.Bean & Henwood,Hydrocotyle digitata,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No,No,No,No,No,No,No
Trachymene scapigera (Domin) B.L.Burtt,Trachymene scapigera,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No,No,No,No,No,No,No
Ilex cassine L.,Ilex cassine,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No,No,No,No,No,No,No
Blumea lacera (Burm.f.) DC.,Blumea lacera,native,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No,No,No,No,No,No,No
Brachyscome abercrombiensis P.S.Short,Brachyscome abercrombiensis,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No,No,No,No,No,No,No
