id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_state_name,place_country_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
48738,28/11/2007,28/11/2007,,Pacific Time (US & Canada),2991,sea-kangaroo,2012-01-24 02:53:46 UTC,2016-10-21 18:17:30 UTC,research,CC-BY,http://www.inaturalist.org/observations/48738,https://inaturalist-open-data.s3.amazonaws.com/photos/180030/medium.JPG,,,,1,0,FALSE,,"Home Island, Cocos Islands",-12.11704034,96.89546585,,,,,,,,FALSE,,,,Cocos Islands,Coconut Palm,Cocos nucifera,coconut palm,Plantae,48865
48741,28/11/2007,28/11/2007,,Pacific Time (US & Canada),2991,sea-kangaroo,2012-01-24 03:06:10 UTC,2022-03-01 05:44:05 UTC,research,CC-BY,http://www.inaturalist.org/observations/48741,https://inaturalist-open-data.s3.amazonaws.com/photos/78261/medium.JPG,,"parasite, orange",,4,2,FALSE,,"Home Island, Cocos Islands",-12.11704034,96.89546585,,,,,,,,FALSE,,,,Cocos Islands,laurel dodder,Cassytha filiformis,laurel dodder,Plantae,160172
48742,28/11/2007,28/11/2007,,Pacific Time (US & Canada),2991,sea-kangaroo,2012-01-24 03:11:05 UTC,2021-11-23 13:46:59 UTC,research,CC-BY,http://www.inaturalist.org/observations/48742,https://inaturalist-open-data.s3.amazonaws.com/photos/78262/medium.JPG,,,Smothered in dodder.,0,0,FALSE,,"Home Island, Cocos Islands",-12.11704034,96.89546585,,,,,,,,FALSE,,,,Cocos Islands,Sea Lettuce,Scaevola taccada,beach naupaka,Plantae,363481
48745,29/11/2007,29/11/2007,,Pacific Time (US & Canada),2991,sea-kangaroo,2012-01-24 03:21:40 UTC,2016-10-21 18:17:31 UTC,research,CC-BY,http://www.inaturalist.org/observations/48745,https://inaturalist-open-data.s3.amazonaws.com/photos/180031/medium.JPG,,,,1,0,FALSE,,"West Island, Cocos Islands",-12.19809323,96.86285019,,,,,,,,FALSE,,,,Cocos Islands,Coconut Palm,Cocos nucifera,coconut palm,Plantae,48865
48752,29/11/2007,29/11/2007,,Pacific Time (US & Canada),2991,sea-kangaroo,2012-01-24 03:36:45 UTC,2016-10-21 18:17:31 UTC,research,CC-BY,http://www.inaturalist.org/observations/48752,https://inaturalist-open-data.s3.amazonaws.com/photos/180033/medium.JPG,,,,1,0,FALSE,,"Direction Island, Cocos Islands",-12.08951367,96.8841362,,,,,,,,FALSE,,,,Cocos Islands,Coconut Palm,Cocos nucifera,coconut palm,Plantae,48865
48753,29/11/2007,29/11/2007,,Pacific Time (US & Canada),2991,sea-kangaroo,2012-01-24 03:37:16 UTC,2021-11-23 14:05:54 UTC,research,CC-BY,http://www.inaturalist.org/observations/48753,https://inaturalist-open-data.s3.amazonaws.com/photos/180032/medium.JPG,,,,1,0,FALSE,,"Direction Island, Cocos Islands",-12.08951367,96.8841362,,,,,,,,FALSE,,,,Cocos Islands,Sea Lettuce,Scaevola taccada,beach naupaka,Plantae,363481
189694,27/11/2007,27/11/2007,,Pacific Time (US & Canada),2991,sea-kangaroo,2013-02-01 04:12:31 UTC,2016-10-21 18:18:02 UTC,research,CC-BY,http://www.inaturalist.org/observations/189694,https://inaturalist-open-data.s3.amazonaws.com/photos/243935/medium.JPG,,,"The entirety of Prison Island.  Apparently was an ""honor system"" prison as it's quite easy to just walk through the shallow water back to Home Island.  ",1,0,FALSE,,"Prison Island, Cocos (Keeling) Islands",-12.10381141,96.88704469,,,,,,,,FALSE,,,,Cocos Islands,Coconut Palm,Cocos nucifera,coconut palm,Plantae,48865
36992610,2019/12/18 5:58 PM AEDT,18/12/2019,2019-12-18 06:58:00 UTC,Sydney,2322217,crapgame,2019-12-27 06:59:56 UTC,2020-02-07 00:11:29 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/36992610,https://inaturalist-open-data.s3.amazonaws.com/photos/58568225/medium.jpg,,Cocos nucifera,Montage of the various parts of the coconut palm.,0,0,FALSE,,"West Island, 6799, Cocos (Keeling) Islands",-12.1879505,96.829345,214,,,,214,,,FALSE,,,,Cocos Islands,Cocotero,Cocos nucifera,coconut palm,Plantae,48865
44215142,2009/11/20 11:50 AM AEDT,20/11/2009,2009-11-20 00:50:00 UTC,Sydney,2750876,dj_maple,2020-04-29 03:13:53 UTC,2021-01-04 05:36:40 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/44215142,https://inaturalist-open-data.s3.amazonaws.com/photos/70101333/medium.jpeg,,,,1,0,FALSE,,"Home Island 6799, Cocos (Keeling) Islands",-11.83433705,96.82831907,50,,,,50,,,FALSE,,,,Cocos Islands,coconut palm,Cocos nucifera,coconut palm,Plantae,48865
44442232,2014/10/10 8:16 AM AEDT,10/10/2014,2014-10-09 21:16:00 UTC,Sydney,2750876,dj_maple,2020-05-01 03:47:42 UTC,2020-05-28 00:05:58 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/44442232,https://inaturalist-open-data.s3.amazonaws.com/photos/70463645/medium.jpeg,,,,1,0,FALSE,,"Home Island 6799, Cocos (Keeling) Islands",-12.07836972,96.84224512,500,,,,500,,,FALSE,,,,Cocos Islands,coconut palm,Cocos nucifera,coconut palm,Plantae,48865
