id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_state_name,place_country_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
1554345,15/11/1998,15/11/1998,,Auckland,57661,pjd1,2015-05-28 03:06:06 UTC,2019-08-19 17:03:13 UTC,research,CC-BY,http://naturewatch.org.nz/observations/1554345,https://inaturalist-open-data.s3.amazonaws.com/photos/1925154/medium.JPG,,,"This is Ungeria floribunda (Malvaceae or Sterculiaceae) the bastard oak of Norfolk Island. Now a very uncommon (threatened) tree of mid slope Norfolk Pine (Araucaria heterophylla) forest. Very rarely seen in flower now, and even more rarely seen setting seed. Ungeria is an endemic, Norfolk Island monotypic genus.",1,0,FALSE,,"Norfolk Island group, Norfolk Island, Norfolk Island National Park, Red Road to Mt Pitt Track",-29.012751,167.945809,58,,,,58,,,FALSE,,,,Norfolk Island,Ungeria floribunda,Ungeria floribunda,,Plantae,465148
4895403,24/11/2016,24/11/2016,,Auckland,80375,ianoftawa,2017-01-04 23:10:16 UTC,2022-01-10 09:27:42 UTC,research,CC-BY,http://naturewatch.org.nz/observations/4895403,https://inaturalist-open-data.s3.amazonaws.com/photos/5954736/medium.jpeg,,"fern, terrestrial, Pteris, Norfolk Island",terrestrial fern in a gully in scrubby forest (Norfolk Island hibiscus),2,0,FALSE,,"Phillip Island, Norfolk Island group",-29.118997,167.959369,100,,,,100,,,FALSE,,,,Norfolk Island,Shaking Brake,Pteris tremula,Shaking Brake,Plantae,78778
4895843,26/11/2016,26/11/2016,,Auckland,80375,ianoftawa,2017-01-05 00:47:44 UTC,2017-01-24 09:09:15 UTC,research,CC-BY,http://naturewatch.org.nz/observations/4895843,https://inaturalist-open-data.s3.amazonaws.com/photos/5955443/medium.jpeg,,"fern, terrestrial, Microsorum, Norfolk Island",terrestrial fern in forest,1,0,FALSE,,"Mt. Bates, Norfolk Island",-29.012206,167.939295,200,,,,200,,,FALSE,,,,Norfolk Island,Hound's Tongue Fern,Microsorum pustulatum,kangaroo fern,Plantae,64060
4895909,26/11/2016,26/11/2016,,Auckland,80375,ianoftawa,2017-01-05 00:54:21 UTC,2017-01-05 05:05:17 UTC,research,CC-BY,http://naturewatch.org.nz/observations/4895909,https://inaturalist-open-data.s3.amazonaws.com/photos/5955536/medium.jpeg,,"fern, terrestrial, Pteridium, Norfolk Island",terrestrial fern on an open slope,1,0,FALSE,,"Mt. Bates, Norfolk Island",-29.01324,167.939404,100,,,,100,,,FALSE,,,,Norfolk Island,Bracken,Pteridium esculentum,Austral Bracken,Plantae,194768
4899357,26/11/2016,26/11/2016,,Auckland,80375,ianoftawa,2017-01-05 19:30:47 UTC,2017-01-24 09:08:03 UTC,research,CC-BY,http://naturewatch.org.nz/observations/4899357,https://inaturalist-open-data.s3.amazonaws.com/photos/5960340/medium.jpeg,,"fern, terrestrial, Asplenium, Norfolk Island",terrestrial fern in open and semi-open forest sites.  Specimens appear to have a more 'delicate' tufted appearance compared with plants of this (?) species in New Zealand.,1,0,FALSE,,"Mt. Bates, Norfolk Island",-29.01324,167.939404,100,,,,100,,,FALSE,,,,Norfolk Island,Mare's Tail Fern,Asplenium polyodon,Mare's Tail Fern,Plantae,158794
4913131,26/11/2016,26/11/2016,,Auckland,80375,ianoftawa,2017-01-08 15:56:18 UTC,2017-01-24 09:07:17 UTC,research,CC-BY,http://naturewatch.org.nz/observations/4913131,https://inaturalist-open-data.s3.amazonaws.com/photos/5980742/medium.jpeg,,"fern, terrestrial, Blechnum, Norfolk Island",Terrestrial fern in forest; reasonably common,1,0,FALSE,,"Mt. Bates, Norfolk Island",-29.01324,167.939404,150,,,,150,,,FALSE,,,,Norfolk Island,Rasp fern,Blechnum parrisiae,Rasp fern,Plantae,446744
5010412,13/12/2016,13/12/2016,,Auckland,80375,ianoftawa,2017-01-26 21:53:50 UTC,2017-01-26 22:16:52 UTC,needs_id,CC-BY,http://naturewatch.org.nz/observations/5010412,https://inaturalist-open-data.s3.amazonaws.com/photos/6127313/medium.jpeg,,"fern, terrestrial, Pyrrosia, Norfolk Island",Uncommon fern; growing on a large rock in a well-shaded broad-leaved/Norfolk Pine forest.,0,0,FALSE,,"Mt. Bates, Norfolk Island",-29.012521,167.946443,100,,,,100,,,FALSE,,,,Norfolk Island,Pyrrosia confluens,Pyrrosia confluens,,Plantae,489272
5010439,13/12/2016,13/12/2016,,Auckland,80375,ianoftawa,2017-01-26 22:03:28 UTC,2021-08-26 03:20:01 UTC,research,CC-BY,http://naturewatch.org.nz/observations/5010439,https://inaturalist-open-data.s3.amazonaws.com/photos/6127405/medium.jpeg,,"fern, terrestrial, Tmesipteris, Norfolk Island",Uncommon epiphyte in forest.,2,0,FALSE,,"Mt. Bates, Norfolk Island",-29.012521,167.946443,150,,,,150,,,FALSE,,,,Norfolk Island,Tmesipteris norfolkensis,Tmesipteris norfolkensis,,Plantae,852415
5010520,13/12/2016,13/12/2016,,Auckland,80375,ianoftawa,2017-01-26 22:15:17 UTC,2017-01-26 23:18:37 UTC,research,CC-BY,http://naturewatch.org.nz/observations/5010520,https://inaturalist-open-data.s3.amazonaws.com/photos/6127483/medium.jpeg,,"fern, terrestrial, Asplenium, Norfolk Island",common tufted terrestrial fern in semi-open and in shaded forest sites.,1,0,FALSE,,"Mt. Bates, Norfolk Island",-29.01324,167.939404,200,,,,200,,,FALSE,,,,Norfolk Island,Asplenium dimorphum,Asplenium dimorphum,,Plantae,430696
5010614,13/12/2016,13/12/2016,,Auckland,80375,ianoftawa,2017-01-26 22:36:57 UTC,2017-01-27 04:37:33 UTC,research,CC-BY,http://naturewatch.org.nz/observations/5010614,https://inaturalist-open-data.s3.amazonaws.com/photos/6127668/medium.jpeg,,"fern, terrestrial, Adiantum, Norfolk Island",Common terrestrial fern in various semi-shaded habitats.,1,0,FALSE,,"Mt. Bates, Norfolk Island",-29.012521,167.946443,150,,,,150,,,FALSE,,,,Norfolk Island,Rose Maidenhair-fern,Adiantum hispidulum,Rough Maidenhair Fern,Plantae,158020
