APC_name,photo
Acianthus ledwardii,no
Arthrochilus apectus,no
Arthrochilus aquilus,no
Arthrochilus stenophyllus,no
Brachypeza archytas,yes
Bryobium dischorense,no
Bryobium irukandjianum,yes
Bulbophyllum lewisense,yes
Bulbophyllum longiflorum,no
Bulbophyllum maxillare,no
Bulbophyllum sladeanum,yes
Cadetia clausa,yes
Cadetia uniflos,no
Caladenia armata,no
Caladenia atroclavia,yes
Caladenia attenuata,no
Caladenia bigeminata,yes
Caladenia branwhitei,no
Caladenia bruniella,no
Caladenia callitrophila,yes
Caladenia campestris,no
Caladenia chamaephylla,no
Caladenia coactilis,no
Caladenia cremna,yes
Caladenia cruscula,yes
Caladenia diversiflora,no
Caladenia ensigera,yes
Caladenia flindersica,yes
Caladenia fuliginosa,yes
Caladenia gracillima,no
Caladenia hesperia,no
Caladenia hopperiana,yes
Caladenia interanea,yes
Caladenia isolata,no
Caladenia leptoclavia,no
Caladenia leucochila,yes
Caladenia littoricola,no
Caladenia necrophylla,yes
Caladenia oreophila,yes
Caladenia orestes,yes
Caladenia pallida,no
Caladenia pluvialis,no
Caladenia rileyi,yes
Caladenia sanguinea,yes
Caladenia subtilis,no
Caladenia sylvicola,yes
Caladenia thysanochila,no
Caladenia viriosa,no
Caladenia whiteheadii,no
Caladenia xantholeuca,no
Caladenia zephyra,yes
Caleana alcockii,no
Caleana dixonii,yes
Caleana gracilicordata,yes
Caleana granitica,yes
Caleana lyonsii,yes
Caleana parvula,yes
Calochilus ammobius,no
Calochilus cleistanthus,no
Calochilus cupreus,no
Calochilus kalaru,no
Calochilus metallicus,no
Calochilus psednus,no
Calochilus russeus,no
Chiloglottis bifaria,yes
Chiloglottis trullata,yes
Chiloglottis turfosa,yes
Cooktownia robertsii,no
Corunastylis capparina,yes
Corunastylis carecta,no
Corunastylis conferta,no
Corunastylis cornuta,yes
Corunastylis firthii,yes
Corunastylis fuscoviridis,no
Corunastylis leptochila,yes
Corunastylis morina,yes
Corunastylis parvicalla,no
Corunastylis pedersonii,no
Corunastylis sigmoidea,yes
Corunastylis systena,yes
Corunastylis trifida,no
Corunastylis valida,no
Corybas acuminatus,no
Corybas dentatus,yes
Corybas dilatatus,yes
Corybas expansus,yes
Corybas minimus,no
Demorchis umbrosa,no
Dendrobium brachypus,no
Dendrobium lobbii,no
Dendrobium melaleucaphilum,yes
Dendrobium mirbelianum,no
Dendrobium paludicola,no
Didymoplexis micradenia,no
Dipodium atropurpureum,yes
Diuris bracteata,yes
Diuris brevissima,no
Diuris brockmanii,no
Diuris byronensis,no
Diuris calcicola,no
Diuris callitrophila,yes
Diuris carecta,no
Diuris eburnea,no
Diuris exitela,yes
Diuris flavescens,yes
Diuris fucosa,yes
Diuris immaculata,yes
Diuris insignis,yes
Diuris inundata,no
Diuris minor,no
Diuris pauciflora,yes
Diuris secundiflora,no
Diuris segregata,yes
Diuris striata,no
Dockrillia fairfaxii,yes
Dockrillia sulphurea,yes
Drakaea andrewsiae,no
Eria paleata,no
Eria retusa,no
Eriochilus paludosus,no
Eulophia bicallosa,no
Eulophia zollingeri,no
Flickingeria nativitatis,no
Gastrodia crebriflora,no
Gastrodia urceolata,no
Goodyera viridiflora,no
Habenaria mesophylla,no
Liparis petricola,no
Luisia corrugata,no
Microtis familiaris,yes
Microtis gracilenta,no
Microtis quadrata,no
Oberonia attenuata,no
Oeceoclades pelorica,no
Pecteilis chlorosepala,no
Pecteilis dockrillii,no
Pecteilis euryloba,no
Pecteilis eurystoma,no
Pecteilis exilis,no
Pecteilis ferdinandi,yes
Pecteilis fuscina,no
Pecteilis harroldii,yes
Pecteilis praecox,yes
Pecteilis vatia,no
Pecteilis xanthantha,no
Peristylus banfieldii,no
Peristylus candidus,no
Peristylus papuanus,no
Phaius bernaysii,yes
Phoringopsis byrnesii,no
Phoringopsis lavarackiana,no
Plexaure limenophylax,no
Plexaure listeri,yes
Prasophyllum albovirens,no
Prasophyllum asinantum,no
Prasophyllum bagoense,yes
Prasophyllum catenemum,no
Prasophyllum collinum,no
Prasophyllum constrictum,no
Prasophyllum copelandii,no
Prasophyllum cuneatum,yes
Prasophyllum exile,yes
Prasophyllum incompositum,no
Prasophyllum innubum,yes
Prasophyllum keltonii,yes
Prasophyllum laxum,no
Prasophyllum limnetes,yes
Prasophyllum macrotys,no
Prasophyllum morganii,no
Prasophyllum murfetii,yes
Prasophyllum perangustum,yes
Prasophyllum praecox,no
Prasophyllum robustum,yes
Prasophyllum rogersii,no
Prasophyllum rotundiflorum,no
Prasophyllum secutum,no
Prasophyllum stellatum,yes
Prasophyllum venustum,yes
Prasophyllum wallum,no
Pterostylis anaclasta,no
Pterostylis anatona,yes
Pterostylis angulata,no
Pterostylis aquilonia,no
Pterostylis borealis,no
Pterostylis bracteata,no
Pterostylis brunneola,yes
Pterostylis caligna,no
Pterostylis clivicola,no
Pterostylis conferta,no
Pterostylis crassichila,no
Pterostylis elegantissima,no
Pterostylis eremaea,no
Pterostylis exalla,yes
Pterostylis extensa,no
Pterostylis extranea,no
Pterostylis faceta,no
Pterostylis foliacea,no
Pterostylis fuliginosa,no
Pterostylis galgula,no
Pterostylis glyphida,yes
Pterostylis hadra,no
Pterostylis insectifera,yes
Pterostylis jacksonii,yes
Pterostylis limbata,no
Pterostylis littoralis,yes
Pterostylis loganii,yes
Pterostylis macrosepala,yes
Pterostylis meridionalis,no
Pterostylis microglossa,yes
Pterostylis multisignata,no
Pterostylis mystacina,no
Pterostylis ovata,no
Pterostylis pearsonii,no
Pterostylis pedina,no
Pterostylis petiolata,no
Pterostylis precatoria,no
Pterostylis psammophila,yes
Pterostylis riparia,no
Pterostylis scitula,yes
Pterostylis scoliosa,no
Pterostylis serotina,no
Pterostylis sigmoidea,yes
Pterostylis simulans,no
Pterostylis sinuata,yes
Pterostylis spissa,no
Pterostylis subtilis,no
Pterostylis taurus,yes
Pterostylis telmata,no
Pterostylis terminalis,no
Pterostylis thulia,no
Pterostylis tryphera,no
Pterostylis vescula,no
Pterostylis virens,no
Pterostylis voigtii,no
Pterostylis wapstrarum,yes
Pterostylis xerampelina,no
Pterostylis zebrina,no
Rhizanthella johnstonii,yes
Rhizanthella omissa,no
Sarcanthopsis warocqueana,no
Sarcochilus aequalis,yes
Sarcochilus eriochilus,no
Taeniophyllum baumei,no
Taeniophyllum epacridicola,no
