species,Match
Acalypha lanceolata,Yes
Acalypha pubiflora,Yes
Aceratium sericoleopsis,Yes
Acronychia aberrans,Yes
Actephila bella,Yes
Actephila sessilifolia,Yes
Aglaia brassii,Yes
Aglaia cooperae,Yes
Aglaia silvestris,Yes
Aglaia spectabilis,Yes
Alangium solomonense,Yes
Albizia retusa,Yes
Alectryon kimberleyanus,Yes
Alstonia linearis,Yes
Alyxia grandis,Yes
Amyema seemeniana,Yes
Anacolosa papuana,Yes
Anisomeles inodora,Yes
Archidendropsis xanthoxylon,Yes
Ardisia fasciculata,Yes
Argophyllum ferrugineum,Yes
Argophyllum heterodontum,Yes
Argophyllum iridescens,Yes
Argophyllum loxotrichum,Yes
Argophyllum verae,Yes
Aristida exserta,Yes
Arthragrostis deschampsioides,Yes
Artocarpus glaucus,Yes
Arytera pseudofoveolata,Yes
Asystasia australasica,Yes
Atalaya australiana,Yes
Backhousia gundarara,Yes
Baileyoxylon lanceolatum,Yes
Beilschmiedia brunnea,Yes
Beilschmiedia castrisinensis,Yes
Beilschmiedia collina,Yes
Beilschmiedia oligandra,Yes
Beilschmiedia recurva,Yes
Beilschmiedia volckii,Yes
Blainvillea cunninghamii,Yes
Blumea riparia,Yes
Blumea sylvatica,Yes
Bonamia dietrichiana,Yes
Brachychiton grandiflorus,Yes
Brachychiton tridentatus,Yes
Brachychiton xanthophyllus,Yes
Brombya smithii,Yes
Bubbia whiteana,Yes
Cadaba capparoides,Yes
Callicarpa caudata,Yes
Camonea pilosa,Yes
Canarium vitiense,Yes
Canavalia cathartica,Yes
Canscora diffusa,Yes
Capparis batianoffii,Yes
Capparis shanesiana,Yes
Carex cryptostachys,Yes
Carex rafflesiana,Yes
Carissa laxiflora,Yes
Carissa scabra,Yes
Carronia pedicellata,Yes
Casearia grayi,Yes
Celtis hildebrandii,Yes
Cenchrus brevisetosus,Yes
Centotheca philippinensis,Yes
Ceratopetalum corymbosum,Yes
Chionanthus acuminiger,Yes
Chionanthus axillaris,Yes
Cinnamomum propinquum,Yes
Clausena excavata,Yes
Cleistanthus discolor,Yes
Coelospermum dasylobum,Yes
Coffea brassii,Yes
Commicarpus chinensis,Yes
Cordia aspera,Yes
Croton brachypus,Yes
Croton capitis-york,Yes
Croton habrophyllus,Yes
Croton simulans,Yes
Croton stockeri,Yes
Croton tomentellus,Yes
Cryptocarya bamagana,Yes
Cryptocarya bellendenkerana,Yes
Cryptocarya brassii,Yes
Cryptocarya cercophylla,Yes
Cryptocarya clarksoniana,Yes
Cryptocarya cocosoides,Yes
Cryptocarya corrugata,Yes
Cryptocarya endiandrifolia,Yes
Cryptocarya glaucocarpa,Yes
Cryptocarya leucophylla,Yes
Cryptocarya lividula,Yes
Cryptocarya putida,Yes
Cryptocarya saccharata,Yes
Cryptocarya smaragdina,Yes
Cryptocarya whiffiniana,Yes
Cucumis costatus,Yes
Cucumis queenslandicus,Yes
Cupaniopsis diploglottoides,Yes
Cupaniopsis fleckeri,Yes
Cupaniopsis papillosa,Yes
Cyanthillium patulum,Yes
Cyclophyllum costatum,Yes
Cyclophyllum schultzii,Yes
Cyperus hyalinus,Yes
Cyperus multispiceus,Yes
Cyperus paniceus,Yes
Cyperus sulcinux,Yes
Cyrtococcum accrescens,Yes
Cyrtococcum patens,Yes
Dalbergia ferruginea,Yes
Dendrocnide corallodesme,Yes
Desmodium tenax,Yes
Dianella pavopennacea,Yes
Dichapetalum timoriense,Yes
Dicliptera ciliata,Yes
Dicliptera spicata,Yes
Dinosperma longifolium,Yes
Dioscorea alata,Yes
Diospyros areolifolia,Yes
Diospyros hemicycloides,Yes
Diospyros rugosula,Yes
Diploglottis alaticarpa,Yes
Diploglottis macrantha,Yes
Dischidia litoralis,Yes
Dissiliaria indistincta,Yes
Dissiliaria laxinervis,Yes
Dryadodaphne trachyphloia,Yes
Drypetes acuminata,Yes
Drypetes vernicosa,Yes
Dysoxylum acutangulum,Yes
Dysoxylum alliaceum,Yes
Ehretia grahamii,Yes
Elaeocarpus carbinensis,Yes
Elaeocarpus hylobroma,Yes
Elaeocarpus miegei,Yes
Elaeocarpus sericopetalus,Yes
Elaeocarpus stellaris,Yes
Eleocharis ochrostachys,Yes
Endiandra acuminata,Yes
Endiandra bessaphila,Yes
Endiandra collinsii,Yes
Endiandra dielsiana,Yes
Endiandra grayi,Yes
Endiandra jonesii,Yes
Endiandra limnophila,Yes
Endiandra monothyra,Yes
Endiandra phaeocarpa,Yes
Endiandra sideroxylon,Yes
Erythrina insularis,Yes
Eulophia zollingeri,Yes
Euodia pubifolia,Yes
Euphorbia plumerioides,Yes
Ficus atricha,Yes
Ficus melinocarpa,Yes
Ficus podocarpifolia,Yes
Ficus subnervosa,Yes
Ficus subpuberula,Yes
Flacourtia territorialis,Yes
Flindersia laevicarpa,Yes
Garcinia jensenii,Yes
Garcinia leggeae,Yes
Garnotia stricta,Yes
Geosiris australiensis,Yes
Gillbeea whypallana,Yes
Gmelina australis,Yes
Gossia shepherdii,Yes
