kingdom,phylum,class,order,family,genus,species,author,species_guid,vernacular_name,Match
Plantae,Charophyta,Equisetopsida,Asterales,Asteraceae,Senecio,Senecio georgianus,DC.,https://id.biodiversity.org.au/node/apni/2915181,,No
Plantae,Charophyta,Equisetopsida,Solanales,Solanaceae,Solanum,Solanum bauerianum,Endl.,https://id.biodiversity.org.au/node/apni/2896504,,No
Plantae,Charophyta,Equisetopsida,Poales,Poaceae,Deyeuxia,Deyeuxia appressa,Vickery,https://id.biodiversity.org.au/node/apni/2913931,,No
Plantae,Charophyta,Equisetopsida,Zingiberales,Musaceae,Musa,Musa fitzalanii,F.Muell.,https://id.biodiversity.org.au/node/apni/2896063,,No
Plantae,Charophyta,Equisetopsida,Asterales,Asteraceae,Neotysonia,Neotysonia phyllostegia,(F.Muell.) Paul G.Wilson,https://id.biodiversity.org.au/node/apni/2902248,,No
Plantae,Charophyta,Equisetopsida,Rosales,Rhamnaceae,Stenanthemum,Stenanthemum cristatum,Rye,https://id.biodiversity.org.au/node/apni/2892331,,No
Plantae,Charophyta,Equisetopsida,Poales,Poaceae,Urochloa,Urochloa atrisola,R.D.Webster,https://id.biodiversity.org.au/node/apni/2903699,,No
Plantae,Charophyta,Equisetopsida,Fabales,Fabaceae,Acacia,Acacia auripila,R.S.Cowan & Maslin,https://id.biodiversity.org.au/node/apni/2904963,,No
Plantae,Charophyta,Equisetopsida,Fabales,Fabaceae,Labichea,Labichea deserticola,J.H.Ross,https://id.biodiversity.org.au/node/apni/2915979,,No
Plantae,Charophyta,Equisetopsida,Gentianales,Apocynaceae,Marsdenia,Marsdenia araujacea,F.Muell.,https://id.biodiversity.org.au/node/apni/2916726,,No
Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Caladenia,Caladenia cadyi,(D.L.Jones) G.N.Backh.,https://id.biodiversity.org.au/name/apni/226081,,No
Plantae,Charophyta,Equisetopsida,Fabales,Fabaceae,Acacia,Acacia kingiana,Maiden & Blakely,https://id.biodiversity.org.au/node/apni/2896483,,No
Plantae,Charophyta,Equisetopsida,Poales,Poaceae,Triodia,Triodia prona,Lazarides,https://id.biodiversity.org.au/node/apni/2902631,,No
Plantae,Charophyta,Equisetopsida,Poales,Poaceae,Ectrosia,Ectrosia appressa,S.T.Blake,https://id.biodiversity.org.au/node/apni/2919697,,No
Plantae,Charophyta,Equisetopsida,Fabales,Fabaceae,Acacia,Acacia kauaiensis,Hillebr.,https://id.biodiversity.org.au/name/apni/147581,,No
Plantae,Charophyta,Equisetopsida,Fabales,Fabaceae,Archidendron,Archidendron trifoliolatum,de Wit,https://id.biodiversity.org.au/name/apni/147827,,No
Plantae,Charophyta,Equisetopsida,Laurales,Monimiaceae,Steganthera,Steganthera chimbuensis,Philipson,https://id.biodiversity.org.au/name/apni/149325,,No
Plantae,Charophyta,Equisetopsida,Santalales,Santalaceae,Viscum,Viscum katikianum,Barlow,https://id.biodiversity.org.au/name/apni/158374,,No
Plantae,Charophyta,Equisetopsida,Sapindales,Rutaceae,Melicope,Melicope calycina,T.G.Hartley,https://id.biodiversity.org.au/name/apni/159008,,No
Plantae,Charophyta,Equisetopsida,Sapindales,Rutaceae,Melicope,Melicope neglecta,T.G.Hartley,https://id.biodiversity.org.au/name/apni/159065,,No
Plantae,Charophyta,Equisetopsida,Sapindales,Rutaceae,Melicope,Melicope alpestris,T.G.Hartley,https://id.biodiversity.org.au/name/apni/159674,,No
Plantae,Charophyta,Equisetopsida,Magnoliales,Annonaceae,Pseuduvaria,Pseuduvaria reticulata,(Blume) Miq.,https://id.biodiversity.org.au/name/apni/166653,,No
Plantae,Charophyta,Equisetopsida,Magnoliales,Annonaceae,Pseuduvaria,Pseuduvaria grandifolia,(Warb.) J.Sinclair,https://id.biodiversity.org.au/name/apni/166668,,No
Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Thaleropia,Thaleropia iteophylla,(Diels) Peter G.Wilson,https://id.biodiversity.org.au/name/apni/166914,,No
Plantae,Charophyta,Equisetopsida,Magnoliales,Annonaceae,Phaeanthus,Phaeanthus ebracteolatus,(C.Presl) Merr.,https://id.biodiversity.org.au/name/apni/172977,,No
Plantae,Charophyta,Equisetopsida,Cyatheales,Dicksoniaceae,Calochlaena,Calochlaena javanica,(Blume) M.D.Turner & R.A.White,https://id.biodiversity.org.au/name/apni/177228,,No
Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Arachnorchis,Arachnorchis x variabilis,(Nicholls) Jeanes,https://id.biodiversity.org.au/name/apni/177998,,No
Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Dockrillia,Dockrillia nothofageti,M.A.Clem. & D.L.Jones,https://id.biodiversity.org.au/name/apni/178985,,No
Plantae,Charophyta,Equisetopsida,Malpighiales,Euphorbiaceae,Pimelodendron,Pimelodendron griffithianum,(MÃ¼ll.Arg.) Benth. & Hook.f.,https://id.biodiversity.org.au/name/apni/182370,,No
Plantae,Charophyta,Equisetopsida,Pandanales,Pandanaceae,Pandanus,Pandanus schoddei,H.St.John,https://id.biodiversity.org.au/name/apni/188796,,No
Plantae,Charophyta,Equisetopsida,Sapindales,Meliaceae,Aglaia,Aglaia cordata,Hiern,https://id.biodiversity.org.au/name/apni/192600,,No
Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Syzygium,Syzygium seemannii,(A.Gray) Biffin & Craven,https://id.biodiversity.org.au/name/apni/193534,,No
Plantae,Charophyta,Equisetopsida,Arecales,Arecaceae,Elaeis,Elaeis guineensis,Jacq.,https://id.biodiversity.org.au/name/apni/196219,,No
Plantae,Charophyta,Equisetopsida,Apiales,Araliaceae,,Tetraplasandra oahuensis,(A.Gray) Harms,https://id.biodiversity.org.au/name/apni/226641,,No
Plantae,Charophyta,Equisetopsida,Asterales,Campanulaceae,Lobelia,Laurentia hydrophila,F.Muell.,https://id.biodiversity.org.au/name/apni/230470,,No
Plantae,Charophyta,Equisetopsida,,Boraginaceae,Lapula,Lapula concava,F.M.Bailey,https://id.biodiversity.org.au/name/apni/237974,,No
Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Caladenia,Caladenia rosea,K.W.Dixon & Christenh.,https://id.biodiversity.org.au/name/apni/50022383,,No
Plantae,Charophyta,Equisetopsida,Caryophyllales,Aizoaceae,Trianthema,Trianthema decandra,L.,https://id.biodiversity.org.au/name/apni/50731487,,No
Plantae,Charophyta,Equisetopsida,Poales,Juncaceae,Juncus,Juncus pygmaeus,Thuill.,https://id.biodiversity.org.au/name/apni/56222,,No
Plantae,Charophyta,Equisetopsida,Fagales,Casuarinaceae,Casuarina,Casuarina stricta,Andrews,https://id.biodiversity.org.au/name/apni/56506,,No
Plantae,Charophyta,Equisetopsida,Poales,Poaceae,Hordeum,Hordeum nodosum,L.,https://id.biodiversity.org.au/name/apni/69007,,No
Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Microtis,Microtis truncata,R.S.Rogers,https://id.biodiversity.org.au/name/apni/74179,,No
Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Pterostylis,Pterostylis constricta,O.H.Sarg.,https://id.biodiversity.org.au/name/apni/74364,,No
Plantae,Charophyta,Equisetopsida,Ericales,Sapotaceae,Pouteria,Pouteria maclayana,(Pierre) Baehni,https://id.biodiversity.org.au/name/apni/81088,,No
Plantae,Charophyta,Equisetopsida,Santalales,Santalaceae,Korthalsella,Korthalsella articulatum,Laing,https://id.biodiversity.org.au/name/apni/8891487,,No
Plantae,Charophyta,Equisetopsida,Asterales,Asteraceae,Ozothamnus,Ozothamnus selaginoides,Sond. & F.Muell.,https://id.biodiversity.org.au/node/apni/2886055,,No
Plantae,Charophyta,Equisetopsida,Fabales,Fabaceae,Sindora,Sindora supa,Merr.,https://id.biodiversity.org.au/node/apni/2892332,,No
Plantae,Charophyta,Equisetopsida,Poales,Poaceae,Lachnagrostis,Lachnagrostis drummondiana,(Steud.) S.W.L.Jacobs,https://id.biodiversity.org.au/node/apni/2893955,,No
Plantae,Charophyta,Equisetopsida,Proteales,Proteaceae,Persoonia,Persoonia laxa,L.A.S.Johnson & P.H.Weston,https://id.biodiversity.org.au/node/apni/2898319,,No
Plantae,Charophyta,Equisetopsida,Asterales,Asteraceae,Centaurea,Centaurea nigrescens,Willd.,https://id.biodiversity.org.au/node/apni/2902402,,No
Plantae,Charophyta,Equisetopsida,Sapindales,Sapindaceae,Tristiropsis,Tristiropsis canarioides,Boerl. ex Valeton,https://id.biodiversity.org.au/node/apni/2908044,,No
Plantae,Charophyta,Equisetopsida,Apiales,Apiaceae,Capnophyllum,Capnophyllum africanum,(L.) Gaertn.,https://id.biodiversity.org.au/node/apni/2908273,,No
Plantae,Charophyta,Equisetopsida,Asterales,Asteraceae,Cratystylis,Cratystylis conocephala x Cratystylis microphylla,(F.Muell.) S.Moore x Cratystylis microphylla S.Moore,https://id.biodiversity.org.au/node/apni/2910595,,No
Plantae,Charophyta,Equisetopsida,Proteales,Proteaceae,Synaphea,Synaphea tamminensis,A.S.George,https://id.biodiversity.org.au/node/apni/2913107,,No
Plantae,Charophyta,Equisetopsida,Fabales,Fabaceae,Pultenaea,Pultenaea elusa,(J.D.Briggs & Crisp) de Kok,https://id.biodiversity.org.au/node/apni/2921308,,No
Plantae,Charophyta,Equisetopsida,Malpighiales,Salicaceae,Salix,Salix x fragilis x Salix nigra,L. x Salix nigra Marshall,https://id.biodiversity.org.au/node/apni/7864706,,No
Plantae,Charophyta,Equisetopsida,Sapindales,Anacardiaceae,Rhus,Rhus diversiloba,Torr. & A.Gray,https://id.biodiversity.org.au/instance/apni/51266661,,No
Plantae,Charophyta,Equisetopsida,Caryophyllales,Caryophyllaceae,Colobanthus,Colobanthus crassifolius,(d'Urv.) Hook.f.,https://id.biodiversity.org.au/instance/apni/51270305,,No
Plantae,Charophyta,Equisetopsida,Alismatales,Cymodoceaceae,Halodule,Halodule wrightii,Asch.,https://id.biodiversity.org.au/instance/apni/51282921,,No
Plantae,Charophyta,Equisetopsida,Caryophyllales,Aizoaceae,Carpanthea,Carpanthea pomeridiana,(L.) N.E.Br.,https://id.biodiversity.org.au/instance/apni/545385,,No
Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus x brevirostris,Blakely,https://id.biodiversity.org.au/instance/apni/553933,,No
Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus x penrithensis,Maiden,https://id.biodiversity.org.au/instance/apni/554352,,No
Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Angophora,Angophora x dichromophloia,Blakely,https://id.biodiversity.org.au/instance/apni/612290,,No
Plantae,Charophyta,Equisetopsida,Arecales,Arecaceae,,Areca aliceae,F.Muell.,https://id.biodiversity.org.au/instance/apni/6932646,,No
Plantae,Charophyta,Equisetopsida,Fabales,Fabaceae,Chamaecytisus,Chamaecytisus proliferus,Link,https://id.biodiversity.org.au/instance/apni/7381797,,No
Plantae,Charophyta,Equisetopsida,Ericales,Ericaceae,Erica,Erica x willmorei,Knowles & Westc.,https://id.biodiversity.org.au/instance/apni/764646,,No
Plantae,Charophyta,Equisetopsida,Fabales,Fabaceae,,Shuteria vestita,Wight & Arn.,https://id.biodiversity.org.au/instance/apni/766725,,No
Plantae,Charophyta,Equisetopsida,Asterales,Asteraceae,,Aster cunninghamii,(Hook.f.) F.Muell.,https://id.biodiversity.org.au/instance/apni/767371,,No
Plantae,Charophyta,Equisetopsida,Asterales,Asteraceae,Leontodon,Leontodon nudicaulis,Lowe,https://id.biodiversity.org.au/instance/apni/768136,,No
Plantae,Charophyta,Equisetopsida,Malpighiales,Phyllanthaceae,Breynia,Breynia podocarpa,Airy Shaw,https://id.biodiversity.org.au/instance/apni/769014,,No
Plantae,Charophyta,Equisetopsida,Poales,Poaceae,Avena,Avena pratensis,L.,https://id.biodiversity.org.au/instance/apni/769148,,No
Plantae,Charophyta,Equisetopsida,Poales,Poaceae,Avena,Avena pubescens,Huds.,https://id.biodiversity.org.au/instance/apni/769149,,No
Plantae,Charophyta,Equisetopsida,Poales,Poaceae,Lolium,Lolium persicum,Boiss. & Hohen.,https://id.biodiversity.org.au/instance/apni/769167,,No
Plantae,Charophyta,Equisetopsida,Malvales,Malvaceae,Hibiscus,Hibiscus caesius,Garcke,https://id.biodiversity.org.au/instance/apni/774250,,No
Plantae,Charophyta,Equisetopsida,Malvales,Malvaceae,Hibiscus,Hibiscus grandiflorus,Salisb.,https://id.biodiversity.org.au/instance/apni/774257,,No
Plantae,Charophyta,Equisetopsida,Poales,Poaceae,Eriochloa,Eriochloa nubica,(Steud.) Thell. ex Bor,https://id.biodiversity.org.au/instance/apni/782003,,No
Plantae,Charophyta,Equisetopsida,Rosales,Moraceae,Ficus,Ficus stipulosum,(Miq.) Miq.,https://id.biodiversity.org.au/instance/apni/8332293,,No
Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Prasophyllum,Prasophyllum nublingii,R.S.Rogers,https://id.biodiversity.org.au/name/apni/105550,,No
Plantae,Charophyta,Equisetopsida,Gentianales,Gentianaceae,Canscora,Canscora decussata,(Roxb.) Schult. & Schult.f.,https://id.biodiversity.org.au/name/apni/106936,,No
Plantae,Charophyta,Equisetopsida,Malpighiales,Salicaceae,Casearia,Casearia tomentosa,Roxb.,https://id.biodiversity.org.au/name/apni/113727,,No
Plantae,,,,Cornaceae,Stylidium,Stylidium javanicum,Slooten,https://id.biodiversity.org.au/name/apni/119157,,No
Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Dendrobium,Dendrobium globiflorum,Schltr.,https://id.biodiversity.org.au/name/apni/122834,,No
Plantae,Charophyta,Equisetopsida,Aquifoliales,Aquifoliaceae,Ilex,Ilex havilandii,Loes.,https://id.biodiversity.org.au/name/apni/126737,,No
Plantae,,,,Alectoriaceae,Alectoria,Alectoria pubescens,(L.) R.Howe,https://id.biodiversity.org.au/name/apni/132233,,No
Plantae,Charophyta,Equisetopsida,Solanales,Solanaceae,Datura,Datura ceratocaula,Ortega,https://id.biodiversity.org.au/name/apni/134762,,No
Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Pterostylis,Pterostylis nichollsiana,(D.L.Jones) D.L.Jones,https://id.biodiversity.org.au/name/apni/137836,,No
Plantae,Charophyta,Equisetopsida,Santalales,Santalaceae,Notothixos,Notothixos floccosus,Oliv.,https://id.biodiversity.org.au/name/apni/147964,,No
Plantae,Charophyta,Equisetopsida,Santalales,Loranthaceae,Decaisnina,Decaisnina pedicellata,(Danser) Barlow,https://id.biodiversity.org.au/name/apni/149692,,No
Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Dendrobium,Dendrobium williamsianum,Rchb.f.,https://id.biodiversity.org.au/name/apni/150887,,No
Plantae,Charophyta,Equisetopsida,Laurales,Monimiaceae,Palmeria,Palmeria hypargyrea,J.R.Perkins,https://id.biodiversity.org.au/name/apni/151139,,No
Plantae,Charophyta,Equisetopsida,Sapindales,Sapindaceae,Arytera,Arytera miniata,H.Turner,https://id.biodiversity.org.au/name/apni/151626,,No
Plantae,Charophyta,Equisetopsida,Sapindales,Rutaceae,Melicope,Melicope improvisa,T.G.Hartley,https://id.biodiversity.org.au/name/apni/159023,,No
Plantae,Charophyta,Equisetopsida,Sapindales,Rutaceae,Melicope,Melicope subunifoliolata,(Stapf) T.G.Hartley,https://id.biodiversity.org.au/name/apni/159085,,No
Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,,Kania platyphylla,A.J.Scott,https://id.biodiversity.org.au/name/apni/160482,,No
Plantae,Charophyta,Equisetopsida,Proteales,Proteaceae,Helicia,Helicia versteeghii,Foreman,https://id.biodiversity.org.au/name/apni/164102,,No
Plantae,Charophyta,Equisetopsida,Myrtales,Lythraceae,Lagerstroemia,Lagerstroemia piriformis,Koehne,https://id.biodiversity.org.au/name/apni/164169,,No
Plantae,Charophyta,Equisetopsida,Oxalidales,Cunoniaceae,Schizomeria,Schizomeria versteeghii,L.M.Perry,https://id.biodiversity.org.au/name/apni/164879,,No
Plantae,Charophyta,Equisetopsida,Poales,Poaceae,Aristida,Aristida capillacea,Cav.,https://id.biodiversity.org.au/name/apni/167221,,No
Plantae,Charophyta,Equisetopsida,Santalales,Loranthaceae,Amyema,Amyema involvens,Barlow,https://id.biodiversity.org.au/name/apni/171401,,No
Plantae,Charophyta,Equisetopsida,Cyatheales,Dicksoniaceae,Dicksonia,Dicksonia grandis,Rosenst.,https://id.biodiversity.org.au/name/apni/176893,,No
Plantae,Charophyta,Equisetopsida,Cyatheales,Dicksoniaceae,Dicksonia,Dicksonia mollis,Holttum,https://id.biodiversity.org.au/name/apni/176894,,No
Plantae,Charophyta,Equisetopsida,Malpighiales,Euphorbiaceae,Mallotus,Mallotus chromocarpus,Airy Shaw,https://id.biodiversity.org.au/name/apni/179606,,No
Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Dendrobium,Dendrobium scopula,Schltr.,https://id.biodiversity.org.au/name/apni/180398,,No
Plantae,Charophyta,Equisetopsida,Magnoliales,Annonaceae,Pseuduvaria,Pseuduvaria rugosa,(Blume) Merr.,https://id.biodiversity.org.au/name/apni/181359,,No
Plantae,Charophyta,Equisetopsida,Rosales,Moraceae,Ficus,Ficus bubulia,C.C.Berg,https://id.biodiversity.org.au/name/apni/182272,,No
Plantae,Charophyta,Equisetopsida,Fabales,Fabaceae,Archidendron,Archidendron syringifolium,(Kosterm.) I.C.Nielsen,https://id.biodiversity.org.au/name/apni/182755,,No
Plantae,Charophyta,Equisetopsida,Fabales,Fabaceae,Archidendron,Archidendron globosum,(Blume) I.C.Nielsen,https://id.biodiversity.org.au/name/apni/183450,,No
Plantae,Charophyta,Equisetopsida,Fabales,Fabaceae,Archidendron,Archidendron harmsii,Malm,https://id.biodiversity.org.au/name/apni/184511,,No
Plantae,Charophyta,Equisetopsida,Celastrales,Celastraceae,Lophopetalum,Lophopetalum micranthum,Loes.,https://id.biodiversity.org.au/name/apni/189609,,No
Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Dendrobium,Dendrobium angustipetalum,J.J.Sm.,https://id.biodiversity.org.au/name/apni/190604,,No
Plantae,Charophyta,Equisetopsida,Asterales,Asteraceae,Cassinia,Cassinia retorta,A.Cunn. ex DC.,https://id.biodiversity.org.au/name/apni/191352,,No
Plantae,Charophyta,Equisetopsida,Solanales,Solanaceae,Solanum,Solanum citrullifolium,A.Braun,https://id.biodiversity.org.au/name/apni/191848,,No
Plantae,Charophyta,Equisetopsida,Solanales,Solanaceae,Solanum,Solanum tweedianum,Hook.,https://id.biodiversity.org.au/name/apni/192085,,No
Plantae,Charophyta,Equisetopsida,Rosales,Moraceae,Ficus,Ficus funiculicaulis,C.C.Berg,https://id.biodiversity.org.au/name/apni/193070,,No
Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Liparis,Liparis truncicola,Schltr.,https://id.biodiversity.org.au/name/apni/196188,,No
Plantae,Charophyta,Equisetopsida,Fabales,Fabaceae,Crotalaria,Crotalaria maxillaris,Klotzsch,https://id.biodiversity.org.au/name/apni/197237,,No
Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,,Ceratostylis subcoerulea,P.Royen,https://id.biodiversity.org.au/name/apni/198923,,No
Plantae,Charophyta,Equisetopsida,Solanales,Solanaceae,Nicotiana,Nicotiana longiflora,Cav.,https://id.biodiversity.org.au/name/apni/198971,,No
Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Syzygium,Syzygium sorongense,(T.G.Hartley & Craven) Craven & Biffin,https://id.biodiversity.org.au/name/apni/203021,,No
Plantae,,,,Coccocarpiaceae,Coccocarpia,Coccocarpia parmelioides,(Hook.) Curtis,https://id.biodiversity.org.au/name/apni/213053,,No
Plantae,Charophyta,Equisetopsida,Malpighiales,Clusiaceae,Calophyllum,Calophyllum calaba,L.,https://id.biodiversity.org.au/name/apni/215474,,No
Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus dalrympleana x Eucalyptus gunnii,Maiden x Eucalyptus gunnii Hook.f.,https://id.biodiversity.org.au/name/apni/233832,,No
Plantae,Charophyta,Equisetopsida,Saxifragales,Haloragaceae,Haloragis,Halorrhagis micrantha,Schindl.,https://id.biodiversity.org.au/name/apni/234467,,No
Plantae,Charophyta,Equisetopsida,Caryophyllales,Polygonaceae,Polygonum,Polygonum erectum,L.,https://id.biodiversity.org.au/name/apni/237775,,No
Plantae,Charophyta,Equisetopsida,Poales,Cyperaceae,Carex,Carex glauca,Scop.,https://id.biodiversity.org.au/name/apni/238311,,No
Plantae,Charophyta,Equisetopsida,Schizaeales,Lygodiaceae,Lygodium,Lygodium kerstenii,Kuhn,https://id.biodiversity.org.au/name/apni/244077,,No
Plantae,Charophyta,Equisetopsida,Ericales,Ericaceae,Rhododendron,Rhododendron buxifolium,H.Low ex Hook.f.,https://id.biodiversity.org.au/name/apni/246153,,No
