species,Match,photo
Althenia bilocularis,Yes,no
Brachyscome triloba,Yes,yes
Callistemon megalongensis,Yes,no
Cardamine franklinensis,Yes,no
Dillwynia palustris,Yes,yes
Dillwynia stipulifera,Yes,no
Epacris lithophila,Yes,no
Epacris pinoidea,Yes,no
Erigeron conyzoides,Yes,no
Gentiana bredboensis,Yes,no
Gentianella sylvicola,Yes,no
Geranium graniticola,Yes,no
Geranium obtusisepalum,Yes,no
Gonocarpus salsoloides,Yes,no
Grevillea bemboka,Yes,yes
Haloragis milesiae,Yes,no
Haloragodendron gibsonii,Yes,no
Hibbertia acaulothrix,Yes,no
Hibbertia horricomis,Yes,no
Hibbertia intermedia,Yes,no
Hibbertia oxycraspedota,Yes,no
Hibbertia praemorsa,Yes,no
Hibbertia simulans,Yes,no
Hibbertia singularis,Yes,no
Leionema ceratogynum,Yes,no
Lysimachia vulgaris,Yes,yes
Macrozamia elegans,Yes,no
Monotoca ledifolia,Yes,no
Myriophyllum lophatum,Yes,no
Olearia lasiophylla,Yes,yes
Persoonia brevifolia,Yes,yes
Pomaderris mediora,Yes,no
Pomaderris sericea,Yes,no
Pomaderris viridis,Yes,no
Pomaderris walshii,Yes,no
Pultenaea lapidosa,Yes,yes
Pultenaea rodwayi,Yes,no
Ranunculus clivicola,Yes,no
Senecio longipilus,Yes,no
Trachymene scapigera,Yes,no
Zannichellia palustris,Yes,no
