species,APC_name,NT,Qld,WA,ChI,NSW,SA,Vic,Tas,ACT,NI,LHI,MI,HI,MDI,CoI,CSI,AR,CaI,family
Cycas distans P.I.Forst. & B.Gray,Cycas distans,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Cycadaceae
Cycas scratchleyana F.Muell.,Cycas scratchleyana,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Cycadaceae
Macrozamia elegans K.D.Hill & D.L.Jones,Macrozamia elegans,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Zamiaceae
Isoetes attenuata C.R.Marsden & Chinnock,Isoetes attenuata,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Isoetaceae
Isoetes brevicula E.R.L.Johnson,Isoetes brevicula,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Isoetaceae
Isoetes cristata C.R.Marsden & Chinnock,Isoetes cristata,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Isoetaceae
Isoetes elatior F.Muell. ex A.Braun,Isoetes elatior,not present,not present,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Isoetaceae
Isoetes humilior F.Muell. ex A.Braun,Isoetes humilior,not present,not present,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Isoetaceae
Isoetes inflata E.R.L.Johnson,Isoetes inflata,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Isoetaceae
Isoetes mongerensis E.R.L.Johnson,Isoetes mongerensis,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Isoetaceae
Isoetes tripus A.Braun,Isoetes tripus,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Isoetaceae
Lycopodiella limosa Chinnock,Lycopodiella limosa,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lycopodiaceae
Phlegmariurus filiformis (Sw.) W.H.Wagner,Phlegmariurus filiformis,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lycopodiaceae
Selaginella alutacia Spring,Selaginella alutacia,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Selaginellaceae
Selaginella longiciliata Hieron.,Selaginella longiciliata,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Selaginellaceae
Actinotus repens Keighery ex Henwood,Actinotus repens,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Apiaceae
Azorella selago Hook.f.,Azorella selago,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,native,native,not present,not present,not present,not present,Apiaceae
Centella uniflora (Colenso) Nannf.,Centella uniflora,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Apiaceae
Eryngium fontanum A.E.Holland & E.J.Thomps.,Eryngium fontanum,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Apiaceae
Oreomyrrhis gunnii Mathias & Constance,Oreomyrrhis gunnii,not present,not present,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Apiaceae
Platysace maxwellii (F.Muell.) C.Norman,Platysace maxwellii,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Apiaceae
Xanthosia collina Keighery,Xanthosia collina,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Apiaceae
Xanthosia eichleri J.M.Hart & Henwood,Xanthosia eichleri,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Apiaceae
Xanthosia peduncularis Benth.,Xanthosia peduncularis,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Apiaceae
