canonicalName,photo
Hydrocotyle comocarpa,no
Trachymene thysanocarpa,yes
Brachyscome barkerae,yes
Brachyscome muelleroides,yes
Brachyscome riparia,yes
Brachyscome walshii,yes
Cassinia nivalis,no
Cassinia tegulata,no
Erigeron conyzoides,no
Eriochlamys squamata,no
Ethuliopsis cunninghamii,no
Haegiela tatei,no
Hyalosperma stoveae,no
Lagenophora brachyglossa,no
Leiocarpa gatesii,yes
Olearia aglossa,no
Ozothamnus rogersianus,yes
Podolepis laevigata,no
Senecio behrianus,yes
Senecio extensus,yes
Senecio glabrescens,no
Senecio halophilus,no
Senecio lageniformis,no
Senecio longicollaris,no
Senecio nigrapicus,yes
Senecio niveoplanus,no
Senecio pilosicristus,no
Trichanthodium baracchianum,no
Vittadinia condyloides,no
Dampiera galbraithiana,yes
Plagiobothrys elachanthus,no
Leucopogon riparius,no
Monotoca oreophila,no
Monotoca rotundifolia,yes
Lysimachia vulgaris,no
Asperula oblanceolata,yes
Asperula polymera,no
Asperula wimmerana,yes
Galium compactum,yes
Galium microlobum,no
Galium polyanthum,yes
Teucrium thieleanum,no
Westringia cremnophila,yes
Callitriche umbonata,no
Limosella curdieana,yes
Convolvulus recurvatus,no
Cuscuta australis,yes
Stellaria papillata,no
Atriplex papillata,no
Atriplex spinibractea,no
Maireana cheelii,yes
Sclerolaena articulata,no
Sclerolaena napiformis,yes
Tecticornia nitida,yes
Triglochin trichophora,no
Triglochin turrifera,yes
Althenia australis,no
Althenia bilocularis,no
Althenia marina,no
Althenia patentifolia,no
Althenia preissii,no
Lomandra oreophila,yes
Hypoxis exilis,no
Caladenia audasii,yes
Caladenia cremna,no
Caladenia oreophila,no
Caladenia pilotensis,yes
Caladenia thysanochila,no
Corunastylis capparina,no
Corunastylis leptochila,no
Prasophyllum appendiculatum,yes
Prasophyllum argillaceum,yes
Prasophyllum barnettii,yes
Prasophyllum erythrocommum,yes
Prasophyllum gilgai,yes
Prasophyllum litorale,yes
Prasophyllum morganii,no
Prasophyllum uvidulum,yes
Pterostylis conferta,no
Pterostylis crassa,yes
Pterostylis loganii,no
